asset,year,candidate,exit_config,n_entries,n_trades,gate_pass,pf,wr,exp_r,total_r,max_dd,freq,be,reason_stop,reason_timeout
BTCUSDT,2022,A,V3-A (1R/2R/1R),63,62,False,0.895,27.4,-0.052,-3.25,-4.63,5.2,0,54,8
BTCUSDT,2022,A,V3-B (0.75R/1.5R/0.75R),63,62,False,1.208,37.1,0.083,5.17,-2.29,5.2,0,56,6
BTCUSDT,2022,A2,V3-A (1R/2R/1R),65,64,False,0.861,26.6,-0.07,-4.46,-5.21,5.4,0,56,8
BTCUSDT,2022,A2,V3-B (0.75R/1.5R/0.75R),65,64,False,1.186,37.5,0.076,4.85,-2.29,5.4,0,58,6
ETHUSDT,2022,A,V3-A (1R/2R/1R),49,48,False,0.971,33.3,-0.014,-0.67,-1.95,4.0,0,38,10
ETHUSDT,2022,A,V3-B (0.75R/1.5R/0.75R),49,48,False,0.867,31.2,-0.061,-2.91,-2.32,4.0,0,43,5
ETHUSDT,2022,A2,V3-A (1R/2R/1R),51,50,False,1.044,34.0,0.02,1.02,-1.95,4.2,0,40,10
ETHUSDT,2022,A2,V3-B (0.75R/1.5R/0.75R),51,50,False,0.956,32.0,-0.019,-0.97,-2.3,4.2,0,45,5
SOLUSDT,2022,A,V3-A (1R/2R/1R),63,61,False,1.152,32.8,0.071,4.35,-4.6,5.2,0,56,5
SOLUSDT,2022,A,V3-B (0.75R/1.5R/0.75R),63,61,False,1.226,32.8,0.084,5.12,-3.15,5.2,0,58,3
SOLUSDT,2022,A2,V3-A (1R/2R/1R),69,67,False,1.231,34.3,0.106,7.11,-4.01,5.7,0,62,5
SOLUSDT,2022,A2,V3-B (0.75R/1.5R/0.75R),69,67,False,1.386,34.3,0.137,9.18,-2.17,5.7,0,64,3
BTCUSDT,2023,A,V3-A (1R/2R/1R),62,61,False,0.713,24.6,-0.169,-10.29,-5.18,5.3,0,53,8
BTCUSDT,2023,A,V3-B (0.75R/1.5R/0.75R),62,61,False,0.811,31.1,-0.103,-6.26,-4.09,5.3,0,55,6
BTCUSDT,2023,A2,V3-A (1R/2R/1R),67,66,False,0.756,24.2,-0.139,-9.17,-4.6,5.5,0,57,9
BTCUSDT,2023,A2,V3-B (0.75R/1.5R/0.75R),67,66,False,0.797,30.3,-0.107,-7.09,-4.38,5.5,0,59,7
ETHUSDT,2023,A,V3-A (1R/2R/1R),69,67,False,0.952,29.9,-0.025,-1.65,-7.21,5.6,0,56,11
ETHUSDT,2023,A,V3-B (0.75R/1.5R/0.75R),69,67,False,0.908,32.8,-0.041,-2.73,-6.23,5.6,0,61,6
ETHUSDT,2023,A2,V3-A (1R/2R/1R),77,75,False,0.854,26.7,-0.074,-5.58,-8.94,6.2,0,64,11
ETHUSDT,2023,A2,V3-B (0.75R/1.5R/0.75R),77,75,False,0.833,30.7,-0.074,-5.56,-6.93,6.2,0,69,6
SOLUSDT,2023,A,V3-A (1R/2R/1R),56,56,False,1.138,28.6,0.072,4.04,-6.3,4.7,0,46,10
SOLUSDT,2023,A,V3-B (0.75R/1.5R/0.75R),56,56,False,1.312,30.4,0.146,8.18,-3.92,4.7,0,53,3
SOLUSDT,2023,A2,V3-A (1R/2R/1R),61,61,False,1.069,27.9,0.037,2.26,-7.14,5.2,0,51,10
SOLUSDT,2023,A2,V3-B (0.75R/1.5R/0.75R),61,61,False,1.241,29.5,0.112,6.85,-4.56,5.2,0,58,3
