asset,year,bias,session,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout
BTCUSDT,2022,A,control_8h,A | control_8h,"Iniciativa G x sesión (Bias A vs A2, be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5; bias & sesión variable)",63,62,5.28,0.984,False,0.895,27.4,-0.052,1.629,-0.688,-3.25,-4.63,5.2,0,54,8
BTCUSDT,2022,A,dcv1_activo_15h,A | dcv1_activo_15h,"Iniciativa G x sesión (Bias A vs A2, be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5; bias & sesión variable)",119,115,9.93,0.966,False,0.681,27.0,-0.177,1.397,-0.757,-20.31,-12.27,9.6,0,99,16
BTCUSDT,2022,A2,control_8h,A2 | control_8h,"Iniciativa G x sesión (Bias A vs A2, be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5; bias & sesión variable)",65,64,5.48,0.985,False,0.861,26.6,-0.07,1.629,-0.684,-4.46,-5.21,5.4,0,56,8
BTCUSDT,2022,A2,dcv1_activo_15h,A2 | dcv1_activo_15h,"Iniciativa G x sesión (Bias A vs A2, be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5; bias & sesión variable)",125,121,10.43,0.968,False,0.712,27.3,-0.157,1.426,-0.751,-19.02,-11.99,10.1,0,105,16
ETHUSDT,2022,A,control_8h,A | control_8h,"Iniciativa G x sesión (Bias A vs A2, be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5; bias & sesión variable)",49,48,4.08,0.98,False,0.971,33.3,-0.014,1.397,-0.719,-0.67,-1.95,4.0,0,38,10
ETHUSDT,2022,A,dcv1_activo_15h,A | dcv1_activo_15h,"Iniciativa G x sesión (Bias A vs A2, be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5; bias & sesión variable)",113,107,9.5,0.947,False,1.033,34.6,0.016,1.488,-0.762,1.75,-6.74,9.0,0,83,24
ETHUSDT,2022,A2,control_8h,A2 | control_8h,"Iniciativa G x sesión (Bias A vs A2, be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5; bias & sesión variable)",51,50,4.28,0.98,False,1.044,34.0,0.02,1.419,-0.7,1.02,-1.95,4.2,0,40,10
ETHUSDT,2022,A2,dcv1_activo_15h,A2 | dcv1_activo_15h,"Iniciativa G x sesión (Bias A vs A2, be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5; bias & sesión variable)",118,112,9.9,0.949,False,1.098,35.7,0.048,1.495,-0.756,5.36,-6.09,9.4,0,88,24
SOLUSDT,2022,A,control_8h,A | control_8h,"Iniciativa G x sesión (Bias A vs A2, be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5; bias & sesión variable)",63,61,5.37,0.968,False,1.152,32.8,0.071,1.649,-0.698,4.35,-4.6,5.2,0,56,5
SOLUSDT,2022,A,dcv1_activo_15h,A | dcv1_activo_15h,"Iniciativa G x sesión (Bias A vs A2, be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5; bias & sesión variable)",107,103,8.93,0.963,False,1.003,31.1,0.001,1.539,-0.691,0.15,-5.44,8.6,0,87,16
SOLUSDT,2022,A2,control_8h,A2 | control_8h,"Iniciativa G x sesión (Bias A vs A2, be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5; bias & sesión variable)",69,67,5.87,0.971,False,1.231,34.3,0.106,1.645,-0.698,7.11,-4.01,5.7,0,62,5
SOLUSDT,2022,A2,dcv1_activo_15h,A2 | dcv1_activo_15h,"Iniciativa G x sesión (Bias A vs A2, be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5; bias & sesión variable)",119,114,9.92,0.958,False,1.044,32.5,0.021,1.505,-0.692,2.37,-5.54,9.5,0,96,18
BTCUSDT,2023,A,control_8h,A | control_8h,"Iniciativa G x sesión (Bias A vs A2, be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5; bias & sesión variable)",62,61,5.39,0.984,False,0.713,24.6,-0.169,1.702,-0.779,-10.29,-5.18,5.3,0,53,8
BTCUSDT,2023,A,dcv1_activo_15h,A | dcv1_activo_15h,"Iniciativa G x sesión (Bias A vs A2, be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5; bias & sesión variable)",110,108,9.37,0.982,False,1.021,29.6,0.012,1.935,-0.798,1.28,-6.88,9.2,0,93,15
BTCUSDT,2023,A2,control_8h,A2 | control_8h,"Iniciativa G x sesión (Bias A vs A2, be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5; bias & sesión variable)",67,66,5.58,0.985,False,0.756,24.2,-0.139,1.779,-0.753,-9.17,-4.6,5.5,0,57,9
BTCUSDT,2023,A2,dcv1_activo_15h,A2 | dcv1_activo_15h,"Iniciativa G x sesión (Bias A vs A2, be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5; bias & sesión variable)",121,119,10.07,0.983,False,0.994,27.7,-0.003,1.966,-0.759,-0.39,-7.18,9.9,0,103,16
