experiment_name,asset,period,period_role,bias,trigger,entry,session,management,n_entries,n_trades,pf,wr,exp_r,total_r,max_dd,freq,gate_pass,contract_hash,dataset_version,pipeline_version,engine_version
donchian_breakout_baseline,BTCUSDT,2022,train,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-A,498,257,0.818,26.1,-0.095,-24.54,-15.9,21.2,False,252bc9876bd3e3c2,market-data-v1,dc-v1,research-engine-1
donchian_breakout_baseline,BTCUSDT,2023,validate,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-A,406,218,1.284,28.9,0.142,31.03,-8.3,18.4,False,f694b1930bc9e8a4,market-data-v1,dc-v1,research-engine-1
donchian_breakout_baseline,ETHUSDT,2022,train,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-A,529,251,1.057,32.7,0.028,7.14,-6.52,20.7,False,c0d66378fc59ba2f,market-data-v1,dc-v1,research-engine-1
donchian_breakout_baseline,ETHUSDT,2023,validate,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-A,394,235,0.751,22.1,-0.149,-35.08,-20.04,19.6,False,05c02a0c7f81cb9a,market-data-v1,dc-v1,research-engine-1
donchian_breakout_baseline,SOLUSDT,2022,train,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-A,598,265,1.002,30.9,0.001,0.24,-7.64,22.0,False,29d241831fd5a5e8,market-data-v1,dc-v1,research-engine-1
donchian_breakout_baseline,SOLUSDT,2023,validate,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-A,543,269,1.138,32.7,0.071,19.16,-13.57,22.4,False,7a8f9f0d11e3b867,market-data-v1,dc-v1,research-engine-1
donchian_breakout_baseline,BTCUSDT,2022,train,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-B,498,274,0.744,26.3,-0.127,-34.87,-16.74,22.6,False,2b28541dc8f9afe6,market-data-v1,dc-v1,research-engine-1
donchian_breakout_baseline,BTCUSDT,2023,validate,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-B,406,228,1.411,32.9,0.181,41.24,-5.82,19.3,False,66089c92713334b4,market-data-v1,dc-v1,research-engine-1
donchian_breakout_baseline,ETHUSDT,2022,train,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-B,529,270,0.998,30.4,-0.001,-0.19,-7.5,22.3,False,a5fdb7cb2ef7bc5c,market-data-v1,dc-v1,research-engine-1
donchian_breakout_baseline,ETHUSDT,2023,validate,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-B,394,243,0.885,28.0,-0.062,-15.11,-12.86,20.3,False,79e308a20904c0be,market-data-v1,dc-v1,research-engine-1
donchian_breakout_baseline,SOLUSDT,2022,train,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-B,598,283,1.065,32.5,0.028,8.06,-8.01,23.5,False,6691f7ed6fae4935,market-data-v1,dc-v1,research-engine-1
donchian_breakout_baseline,SOLUSDT,2023,validate,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-B,543,286,1.097,30.8,0.043,12.38,-9.83,23.8,False,25e8285ac5680781,market-data-v1,dc-v1,research-engine-1
