source,source_artifact,contract_hash,asset,period,period_role,management,n_entries,n_trades,pf,wr,exp_r,total_r,max_dd,freq,gate_pass
phase1_baseline_frozen,donchian_breakout_baseline_results.csv,252bc9876bd3e3c2,BTCUSDT,2022,train,V3-A,498,257,0.818,26.1,-0.095,-24.54,-15.9,21.2,False
phase1_baseline_frozen,donchian_breakout_baseline_results.csv,f694b1930bc9e8a4,BTCUSDT,2023,validate,V3-A,406,218,1.284,28.9,0.142,31.03,-8.3,18.4,False
phase1_baseline_frozen,donchian_breakout_baseline_results.csv,c0d66378fc59ba2f,ETHUSDT,2022,train,V3-A,529,251,1.057,32.7,0.028,7.14,-6.52,20.7,False
phase1_baseline_frozen,donchian_breakout_baseline_results.csv,05c02a0c7f81cb9a,ETHUSDT,2023,validate,V3-A,394,235,0.751,22.1,-0.149,-35.08,-20.04,19.6,False
phase1_baseline_frozen,donchian_breakout_baseline_results.csv,29d241831fd5a5e8,SOLUSDT,2022,train,V3-A,598,265,1.002,30.9,0.001,0.24,-7.64,22.0,False
phase1_baseline_frozen,donchian_breakout_baseline_results.csv,7a8f9f0d11e3b867,SOLUSDT,2023,validate,V3-A,543,269,1.138,32.7,0.071,19.16,-13.57,22.4,False
phase1_baseline_frozen,donchian_breakout_baseline_results.csv,2b28541dc8f9afe6,BTCUSDT,2022,train,V3-B,498,274,0.744,26.3,-0.127,-34.87,-16.74,22.6,False
phase1_baseline_frozen,donchian_breakout_baseline_results.csv,66089c92713334b4,BTCUSDT,2023,validate,V3-B,406,228,1.411,32.9,0.181,41.24,-5.82,19.3,False
phase1_baseline_frozen,donchian_breakout_baseline_results.csv,a5fdb7cb2ef7bc5c,ETHUSDT,2022,train,V3-B,529,270,0.998,30.4,-0.001,-0.19,-7.5,22.3,False
phase1_baseline_frozen,donchian_breakout_baseline_results.csv,79e308a20904c0be,ETHUSDT,2023,validate,V3-B,394,243,0.885,28.0,-0.062,-15.11,-12.86,20.3,False
phase1_baseline_frozen,donchian_breakout_baseline_results.csv,6691f7ed6fae4935,SOLUSDT,2022,train,V3-B,598,283,1.065,32.5,0.028,8.06,-8.01,23.5,False
phase1_baseline_frozen,donchian_breakout_baseline_results.csv,25e8285ac5680781,SOLUSDT,2023,validate,V3-B,543,286,1.097,30.8,0.043,12.38,-9.83,23.8,False
phase4_new,donchian_breakout_management_results.csv,5fb742e26683c28a,BTCUSDT,2022,train,DCH-EXIT,498,262,0.749,29.4,-0.136,-35.65,-18.84,21.7,False
phase4_new,donchian_breakout_management_results.csv,366f4a1294c05127,BTCUSDT,2023,validate,DCH-EXIT,406,213,1.167,29.6,0.096,20.39,-16.76,18.0,False
phase4_new,donchian_breakout_management_results.csv,cb08c16a8623582f,ETHUSDT,2022,train,DCH-EXIT,529,259,0.907,34.0,-0.046,-11.83,-12.79,21.4,False
phase4_new,donchian_breakout_management_results.csv,c0fa29fbcca71602,ETHUSDT,2023,validate,DCH-EXIT,394,229,0.726,25.3,-0.166,-38.06,-23.54,19.1,False
phase4_new,donchian_breakout_management_results.csv,02ebcb030348532d,SOLUSDT,2022,train,DCH-EXIT,598,269,0.938,35.7,-0.03,-8.07,-9.05,22.3,False
phase4_new,donchian_breakout_management_results.csv,02957cf9b7c273a2,SOLUSDT,2023,validate,DCH-EXIT,543,268,1.33,31.3,0.156,41.77,-12.38,22.3,False
