origin,asset,period,period_role,management,contract_hash,n_entries,n_trades,fill_rate,avg_win,avg_loss,mean_duration_h,mean_mfe_r,mean_mae_r,mfe_capture_ratio,reason_breakdown
diagnostic_re_derivation,BTCUSDT,2022,train,V3-A,252bc9876bd3e3c2,498,257,0.5161,1.6449,-0.7092,9.3696,1.6106,1.499,0.5287,stop=214;timeout=43
diagnostic_re_derivation,BTCUSDT,2023,validate,V3-A,f694b1930bc9e8a4,406,218,0.5369,2.2293,-0.7059,8.5229,2.2677,1.6643,0.5086,stop=186;timeout=32
diagnostic_re_derivation,ETHUSDT,2022,train,V3-A,c0d66378fc59ba2f,529,251,0.4745,1.6078,-0.7379,9.996,1.667,1.4773,0.5525,stop=210;timeout=41
diagnostic_re_derivation,ETHUSDT,2023,validate,V3-A,05c02a0c7f81cb9a,394,235,0.5964,2.0309,-0.7688,8.6553,2.0387,1.7141,0.5234,stop=204;timeout=31
diagnostic_re_derivation,SOLUSDT,2022,train,V3-A,29d241831fd5a5e8,598,265,0.4431,1.574,-0.704,9.4755,1.6806,1.4856,0.5464,stop=228;timeout=37
diagnostic_re_derivation,SOLUSDT,2023,validate,V3-A,7a8f9f0d11e3b867,543,269,0.4954,1.7922,-0.7655,9.9926,2.05,1.4856,0.5263,stop=220;timeout=49
diagnostic_re_derivation,BTCUSDT,2022,train,V3-B,2b28541dc8f9afe6,498,274,0.5502,1.4087,-0.6748,7.781,1.6144,1.4949,0.4895,stop=244;timeout=30
diagnostic_re_derivation,BTCUSDT,2023,validate,V3-B,66089c92713334b4,406,228,0.5616,1.8874,-0.6556,7.1404,2.2598,1.6411,0.4696,stop=212;timeout=16
diagnostic_re_derivation,ETHUSDT,2022,train,V3-B,a5fdb7cb2ef7bc5c,529,270,0.5104,1.5132,-0.661,7.7778,1.6224,1.5218,0.5098,stop=249;timeout=21
diagnostic_re_derivation,ETHUSDT,2023,validate,V3-B,79e308a20904c0be,394,243,0.6168,1.7065,-0.7494,7.1975,2.0177,1.7153,0.4807,stop=223;timeout=20
diagnostic_re_derivation,SOLUSDT,2022,train,V3-B,6691f7ed6fae4935,598,283,0.4732,1.4268,-0.6451,7.8304,1.6688,1.4422,0.5125,stop=261;timeout=22
diagnostic_re_derivation,SOLUSDT,2023,validate,V3-B,25e8285ac5680781,543,286,0.5267,1.5913,-0.6447,7.8112,2.0864,1.478,0.4842,stop=266;timeout=20
phase4_execution,BTCUSDT,2022,train,DCH-EXIT,5fb742e26683c28a,498,262,0.5261,1.3848,-0.7691,8.1603,1.5927,1.509,0.4028,donchian_exit=155;stop=91;timeout=16
phase4_execution,BTCUSDT,2023,validate,DCH-EXIT,366f4a1294c05127,406,213,0.5246,2.2562,-0.8117,8.3427,2.2455,1.7211,0.4062,donchian_exit=126;stop=71;timeout=16
phase4_execution,ETHUSDT,2022,train,DCH-EXIT,cb08c16a8623582f,529,259,0.4896,1.3122,-0.7445,9.1197,1.6711,1.4749,0.3989,donchian_exit=161;stop=81;timeout=17
phase4_execution,ETHUSDT,2023,validate,DCH-EXIT,c0fa29fbcca71602,394,229,0.5812,1.7359,-0.8113,7.9563,1.9985,1.6891,0.4125,donchian_exit=135;stop=86;timeout=8
phase4_execution,SOLUSDT,2022,train,DCH-EXIT,02ebcb030348532d,598,269,0.4498,1.2776,-0.7556,8.7621,1.6432,1.4742,0.4299,donchian_exit=176;stop=76;timeout=17
phase4_execution,SOLUSDT,2023,validate,DCH-EXIT,02957cf9b7c273a2,543,268,0.4936,2.0064,-0.6889,8.8582,2.0406,1.4924,0.4239,donchian_exit=181;stop=67;timeout=20
