experiment_name,asset,period,period_role,bias,trigger,entry,session,management,n_entries,n_trades,pf,wr,exp_r,total_r,max_dd,freq,gate_pass,contract_hash,dataset_version,pipeline_version,engine_version
donchian_breakout_n_hypothesis,BTCUSDT,2022,train,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-A,344,183,0.699,26.8,-0.158,-28.96,-17.27,15.2,False,058d6a985916d12b,market-data-v1,dc-v1,research-engine-1
donchian_breakout_n_hypothesis,BTCUSDT,2023,validate,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-A,261,145,1.262,29.7,0.132,19.12,-6.76,12.3,False,3ba8f416ba2f589b,market-data-v1,dc-v1,research-engine-1
donchian_breakout_n_hypothesis,ETHUSDT,2022,train,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-A,373,185,0.995,33.5,-0.002,-0.44,-7.7,15.4,False,7a52d81a3886d333,market-data-v1,dc-v1,research-engine-1
donchian_breakout_n_hypothesis,ETHUSDT,2023,validate,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-A,258,159,0.745,25.8,-0.143,-22.81,-15.31,13.4,False,78daebb96dad3f68,market-data-v1,dc-v1,research-engine-1
donchian_breakout_n_hypothesis,SOLUSDT,2022,train,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-A,429,188,1.142,31.4,0.064,11.98,-5.12,15.7,False,3af49e38cbae47c0,market-data-v1,dc-v1,research-engine-1
donchian_breakout_n_hypothesis,SOLUSDT,2023,validate,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-A,355,191,0.979,30.4,-0.011,-2.05,-16.68,16.0,False,069c5fa7a739349a,market-data-v1,dc-v1,research-engine-1
donchian_breakout_n_hypothesis,BTCUSDT,2022,train,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-B,344,193,0.678,28.5,-0.16,-30.92,-15.91,16.0,False,6b87b67cd35228b6,market-data-v1,dc-v1,research-engine-1
donchian_breakout_n_hypothesis,BTCUSDT,2023,validate,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-B,261,149,1.485,34.9,0.219,32.66,-4.41,12.6,False,afda1a4417cbabdf,market-data-v1,dc-v1,research-engine-1
donchian_breakout_n_hypothesis,ETHUSDT,2022,train,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-B,373,197,0.938,32.0,-0.028,-5.47,-7.28,16.4,False,393697a7c0f93e60,market-data-v1,dc-v1,research-engine-1
donchian_breakout_n_hypothesis,ETHUSDT,2023,validate,A_ema200_neutral,D_range_breakout,C_market_close,sin_filtro_24h,V3-B,258,163,0.825,28.2,-0.093,-15.15,-12.51,13.7,False,38c686be5947b1b8,market-data-v1,dc-v1,research-engine-1
