asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,A_pullback_50,V3-A (1R/2R/1R),8.199,,False,False,False,
BTCUSDT,A_pullback_50,V3-B (0.75R/1.5R/0.75R),17.174,,False,False,False,
BTCUSDT,C_market_close,V3-A (1R/2R/1R),0.79,,False,False,False,
BTCUSDT,C_market_close,V3-B (0.75R/1.5R/0.75R),0.33,,False,False,False,
BTCUSDT,D_next_candle_open,V3-A (1R/2R/1R),0.79,,False,False,False,
BTCUSDT,D_next_candle_open,V3-B (0.75R/1.5R/0.75R),0.33,,False,False,False,
ETHUSDT,A_pullback_50,V3-A (1R/2R/1R),12.832,,False,False,False,
ETHUSDT,A_pullback_50,V3-B (0.75R/1.5R/0.75R),4.674,,False,False,False,
ETHUSDT,C_market_close,V3-A (1R/2R/1R),3.203,,False,False,False,
ETHUSDT,C_market_close,V3-B (0.75R/1.5R/0.75R),4.312,,False,False,False,
ETHUSDT,D_next_candle_open,V3-A (1R/2R/1R),3.203,,False,False,False,
ETHUSDT,D_next_candle_open,V3-B (0.75R/1.5R/0.75R),4.311,,False,False,False,
SOLUSDT,A_pullback_50,V3-A (1R/2R/1R),106.631,,False,False,False,
SOLUSDT,A_pullback_50,V3-B (0.75R/1.5R/0.75R),81.371,,False,False,False,
SOLUSDT,C_market_close,V3-A (1R/2R/1R),4.022,,False,False,False,
SOLUSDT,C_market_close,V3-B (0.75R/1.5R/0.75R),3.416,,False,False,False,
SOLUSDT,D_next_candle_open,V3-A (1R/2R/1R),3.992,,False,False,False,
SOLUSDT,D_next_candle_open,V3-B (0.75R/1.5R/0.75R),3.389,,False,False,False,
