asset,year,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,total_r,max_dd,freq,be,reason_stop,reason_timeout
BTCUSDT,2022,A_pullback_50,V3-A (1R/2R/1R),12,12,1.2,1.0,False,8.199,33.3,0.826,9.91,-0.53,1.2,0.0,10,2
BTCUSDT,2022,A_pullback_50,V3-B (0.75R/1.5R/0.75R),12,12,1.2,1.0,False,17.174,41.7,0.45,5.4,-0.08,1.2,0.0,11,1
BTCUSDT,2022,C_market_close,V3-A (1R/2R/1R),12,12,1.2,1.0,False,0.79,16.7,-0.166,-1.99,-2.11,1.2,0.0,11,1
BTCUSDT,2022,C_market_close,V3-B (0.75R/1.5R/0.75R),12,12,1.2,1.0,False,0.33,16.7,-0.529,-6.35,-3.43,1.2,0.0,11,1
BTCUSDT,2022,D_next_candle_open,V3-A (1R/2R/1R),12,12,1.2,1.0,False,0.79,16.7,-0.166,-1.99,-2.11,1.2,0.0,11,1
BTCUSDT,2022,D_next_candle_open,V3-B (0.75R/1.5R/0.75R),12,12,1.2,1.0,False,0.33,16.7,-0.529,-6.35,-3.43,1.2,0.0,11,1
ETHUSDT,2022,A_pullback_50,V3-A (1R/2R/1R),8,8,0.8,1.0,False,12.832,62.5,1.692,13.53,-0.52,0.8,0.0,7,1
ETHUSDT,2022,A_pullback_50,V3-B (0.75R/1.5R/0.75R),8,8,0.8,1.0,False,4.674,50.0,0.546,4.37,-0.52,0.8,0.0,8,0
ETHUSDT,2022,C_market_close,V3-A (1R/2R/1R),8,8,0.8,1.0,False,3.203,37.5,0.888,7.1,-0.55,0.8,0.0,7,1
ETHUSDT,2022,C_market_close,V3-B (0.75R/1.5R/0.75R),8,8,0.8,1.0,False,4.312,50.0,0.903,7.22,-0.52,0.8,0.0,8,0
ETHUSDT,2022,D_next_candle_open,V3-A (1R/2R/1R),8,8,0.8,1.0,False,3.203,37.5,0.888,7.1,-0.55,0.8,0.0,7,1
ETHUSDT,2022,D_next_candle_open,V3-B (0.75R/1.5R/0.75R),8,8,0.8,1.0,False,4.311,50.0,0.903,7.22,-0.52,0.8,0.0,8,0
SOLUSDT,2022,A_pullback_50,V3-A (1R/2R/1R),7,7,1.0,1.0,False,106.631,57.1,1.581,11.07,-0.03,1.0,0.0,7,0
SOLUSDT,2022,A_pullback_50,V3-B (0.75R/1.5R/0.75R),7,7,1.0,1.0,False,81.371,57.1,1.203,8.42,-0.03,1.0,0.0,7,0
SOLUSDT,2022,C_market_close,V3-A (1R/2R/1R),7,7,1.0,1.0,False,4.022,71.4,0.889,6.23,-1.03,1.0,0.0,5,2
SOLUSDT,2022,C_market_close,V3-B (0.75R/1.5R/0.75R),7,7,1.0,1.0,False,3.416,71.4,0.711,4.98,-1.03,1.0,0.0,6,1
SOLUSDT,2022,D_next_candle_open,V3-A (1R/2R/1R),7,7,1.0,1.0,False,3.992,71.4,0.881,6.16,-1.03,1.0,0.0,5,2
SOLUSDT,2022,D_next_candle_open,V3-B (0.75R/1.5R/0.75R),7,7,1.0,1.0,False,3.389,71.4,0.703,4.92,-1.03,1.0,0.0,6,1
BTCUSDT,2023,A_pullback_50,V3-A (1R/2R/1R),4,4,,1.0,False,,,,,,,,0,0
BTCUSDT,2023,A_pullback_50,V3-B (0.75R/1.5R/0.75R),4,4,,1.0,False,,,,,,,,0,0
BTCUSDT,2023,C_market_close,V3-A (1R/2R/1R),4,4,,1.0,False,,,,,,,,0,0
BTCUSDT,2023,C_market_close,V3-B (0.75R/1.5R/0.75R),4,4,,1.0,False,,,,,,,,0,0
BTCUSDT,2023,D_next_candle_open,V3-A (1R/2R/1R),4,4,,1.0,False,,,,,,,,0,0
BTCUSDT,2023,D_next_candle_open,V3-B (0.75R/1.5R/0.75R),4,4,,1.0,False,,,,,,,,0,0
ETHUSDT,2023,A_pullback_50,V3-A (1R/2R/1R),2,2,,1.0,False,,,,,,,,0,0
ETHUSDT,2023,A_pullback_50,V3-B (0.75R/1.5R/0.75R),2,2,,1.0,False,,,,,,,,0,0
ETHUSDT,2023,C_market_close,V3-A (1R/2R/1R),2,2,,1.0,False,,,,,,,,0,0
ETHUSDT,2023,C_market_close,V3-B (0.75R/1.5R/0.75R),2,2,,1.0,False,,,,,,,,0,0
ETHUSDT,2023,D_next_candle_open,V3-A (1R/2R/1R),2,2,,1.0,False,,,,,,,,0,0
ETHUSDT,2023,D_next_candle_open,V3-B (0.75R/1.5R/0.75R),2,2,,1.0,False,,,,,,,,0,0
SOLUSDT,2023,A_pullback_50,V3-A (1R/2R/1R),4,4,,1.0,False,,,,,,,,0,0
SOLUSDT,2023,A_pullback_50,V3-B (0.75R/1.5R/0.75R),4,4,,1.0,False,,,,,,,,0,0
SOLUSDT,2023,C_market_close,V3-A (1R/2R/1R),4,4,,1.0,False,,,,,,,,0,0
SOLUSDT,2023,C_market_close,V3-B (0.75R/1.5R/0.75R),4,4,,1.0,False,,,,,,,,0,0
SOLUSDT,2023,D_next_candle_open,V3-A (1R/2R/1R),4,4,,1.0,False,,,,,,,,0,0
SOLUSDT,2023,D_next_candle_open,V3-B (0.75R/1.5R/0.75R),4,4,,1.0,False,,,,,,,,0,0
