asset,year,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,total_r,max_dd,freq,be,reason_stop,reason_timeout
BTCUSDT,2022,C_market_close,V3-A (1R/2R/1R),63,62,5.28,0.984,False,0.895,27.4,-0.052,-3.25,-4.63,5.2,0,54,8
BTCUSDT,2022,C_market_close,V3-B (0.75R/1.5R/0.75R),63,62,5.28,0.984,False,1.208,37.1,0.083,5.17,-2.29,5.2,0,56,6
BTCUSDT,2022,D_next_candle_open,V3-A (1R/2R/1R),63,62,5.28,0.984,False,0.895,27.4,-0.052,-3.25,-4.63,5.2,0,54,8
BTCUSDT,2022,D_next_candle_open,V3-B (0.75R/1.5R/0.75R),63,62,5.28,0.984,False,1.207,37.1,0.083,5.16,-2.29,5.2,0,56,6
ETHUSDT,2022,C_market_close,V3-A (1R/2R/1R),49,48,4.08,0.98,False,0.971,33.3,-0.014,-0.67,-1.95,4.0,0,38,10
ETHUSDT,2022,C_market_close,V3-B (0.75R/1.5R/0.75R),49,48,4.08,0.98,False,0.867,31.2,-0.061,-2.91,-2.32,4.0,0,43,5
ETHUSDT,2022,D_next_candle_open,V3-A (1R/2R/1R),49,48,4.08,0.98,False,0.971,33.3,-0.014,-0.67,-1.95,4.0,0,38,10
ETHUSDT,2022,D_next_candle_open,V3-B (0.75R/1.5R/0.75R),49,48,4.08,0.98,False,0.866,31.2,-0.061,-2.91,-2.32,4.0,0,43,5
SOLUSDT,2022,C_market_close,V3-A (1R/2R/1R),63,61,5.37,0.968,False,1.152,32.8,0.071,4.35,-4.6,5.2,0,56,5
SOLUSDT,2022,C_market_close,V3-B (0.75R/1.5R/0.75R),63,61,5.37,0.968,False,1.226,32.8,0.084,5.12,-3.15,5.2,0,58,3
SOLUSDT,2022,D_next_candle_open,V3-A (1R/2R/1R),63,61,5.37,0.968,False,1.145,32.8,0.068,4.14,-4.63,5.2,0,56,5
SOLUSDT,2022,D_next_candle_open,V3-B (0.75R/1.5R/0.75R),63,61,5.37,0.968,False,1.361,34.4,0.133,8.14,-3.1,5.2,0,58,3
BTCUSDT,2023,C_market_close,V3-A (1R/2R/1R),62,61,5.39,0.984,False,0.713,24.6,-0.169,-10.29,-5.18,5.3,0,53,8
BTCUSDT,2023,C_market_close,V3-B (0.75R/1.5R/0.75R),62,61,5.39,0.984,False,0.811,31.1,-0.103,-6.26,-4.09,5.3,0,55,6
BTCUSDT,2023,D_next_candle_open,V3-A (1R/2R/1R),62,61,5.39,0.984,False,0.713,24.6,-0.169,-10.29,-5.18,5.3,0,53,8
BTCUSDT,2023,D_next_candle_open,V3-B (0.75R/1.5R/0.75R),62,61,5.39,0.984,False,0.811,31.1,-0.103,-6.26,-4.09,5.3,0,55,6
ETHUSDT,2023,C_market_close,V3-A (1R/2R/1R),69,67,5.77,0.971,False,0.952,29.9,-0.025,-1.65,-7.21,5.6,0,56,11
ETHUSDT,2023,C_market_close,V3-B (0.75R/1.5R/0.75R),69,67,5.77,0.971,False,0.908,32.8,-0.041,-2.73,-6.23,5.6,0,61,6
ETHUSDT,2023,D_next_candle_open,V3-A (1R/2R/1R),69,67,5.77,0.971,False,0.952,29.9,-0.025,-1.65,-7.21,5.6,0,56,11
ETHUSDT,2023,D_next_candle_open,V3-B (0.75R/1.5R/0.75R),69,67,5.77,0.971,False,0.908,32.8,-0.041,-2.73,-6.23,5.6,0,61,6
SOLUSDT,2023,C_market_close,V3-A (1R/2R/1R),56,56,4.7,1.0,False,1.138,28.6,0.072,4.04,-6.3,4.7,0,46,10
SOLUSDT,2023,C_market_close,V3-B (0.75R/1.5R/0.75R),56,56,4.7,1.0,False,1.312,30.4,0.146,8.18,-3.92,4.7,0,53,3
SOLUSDT,2023,D_next_candle_open,V3-A (1R/2R/1R),56,56,4.7,1.0,False,1.137,28.6,0.072,4.03,-6.3,4.7,0,46,10
SOLUSDT,2023,D_next_candle_open,V3-B (0.75R/1.5R/0.75R),56,56,4.7,1.0,False,1.311,30.4,0.146,8.16,-3.93,4.7,0,53,3
