asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,1.25,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",,0.749,,False,False,
BTCUSDT,1.5,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",0.89,0.718,False,False,False,
BTCUSDT,2.0,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",0.895,0.713,False,False,False,
BTCUSDT,2.5,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",0.914,0.646,False,False,False,
BTCUSDT,3.0,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",0.855,,False,,False,
ETHUSDT,1.5,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",0.931,1.02,False,False,False,
ETHUSDT,2.0,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",0.971,0.952,False,False,False,
ETHUSDT,2.5,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",0.913,1.211,False,False,False,
ETHUSDT,3.0,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",,1.106,,False,False,
SOLUSDT,1.25,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",,1.256,,False,False,
SOLUSDT,1.5,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",1.15,1.279,False,False,False,
SOLUSDT,2.0,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",1.152,1.138,False,False,False,
SOLUSDT,2.5,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",1.156,1.203,False,False,False,
SOLUSDT,3.0,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",1.193,,False,,False,
