asset,year,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,triggered_by,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout
BTCUSDT,2022,1.5,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",63,62,5.28,0.984,False,,0.89,38.7,-0.053,1.114,-0.79,-3.29,-2.59,5.2,0,55,7
BTCUSDT,2022,2.0,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",63,62,5.28,0.984,False,,0.895,27.4,-0.052,1.629,-0.688,-3.25,-4.63,5.2,0,54,8
BTCUSDT,2022,2.5,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",63,62,5.28,0.984,False,,0.914,25.8,-0.043,1.773,-0.675,-2.67,-4.91,5.2,0,52,10
BTCUSDT,2022,3.0,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",63,62,5.28,0.984,False,upper_contingency,0.855,24.2,-0.073,1.779,-0.664,-4.53,-5.22,5.2,0,50,12
ETHUSDT,2022,1.5,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",49,48,4.08,0.98,False,,0.931,37.5,-0.033,1.182,-0.762,-1.58,-1.68,4.0,0,39,9
ETHUSDT,2022,2.0,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",49,48,4.08,0.98,False,,0.971,33.3,-0.014,1.397,-0.719,-0.67,-1.95,4.0,0,38,10
ETHUSDT,2022,2.5,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",49,48,4.08,0.98,False,,0.913,31.2,-0.042,1.407,-0.7,-2.0,-2.26,4.0,0,37,11
SOLUSDT,2022,1.5,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",63,61,5.37,0.968,False,,1.15,36.1,0.07,1.492,-0.732,4.28,-4.43,5.2,0,58,3
SOLUSDT,2022,2.0,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",63,61,5.37,0.968,False,,1.152,32.8,0.071,1.649,-0.698,4.35,-4.6,5.2,0,56,5
SOLUSDT,2022,2.5,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",63,61,5.37,0.968,False,,1.156,29.5,0.073,1.846,-0.668,4.47,-3.85,5.2,0,53,8
SOLUSDT,2022,3.0,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",63,61,5.37,0.968,False,upper_contingency,1.193,27.9,0.091,2.021,-0.655,5.55,-2.94,5.2,0,50,11
BTCUSDT,2023,1.5,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",62,61,5.39,0.984,False,,0.718,31.1,-0.163,1.332,-0.839,-9.94,-5.29,5.3,0,54,7
BTCUSDT,2023,2.0,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",62,61,5.39,0.984,False,,0.713,24.6,-0.169,1.702,-0.779,-10.29,-5.18,5.3,0,53,8
BTCUSDT,2023,2.5,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",62,61,5.39,0.984,False,,0.646,19.7,-0.21,1.948,-0.738,-12.8,-6.31,5.3,0,53,8
BTCUSDT,2023,1.25,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",62,61,5.39,0.984,False,lower_contingency,0.749,37.7,-0.143,1.129,-0.913,-8.71,-4.7,5.3,0,54,7
ETHUSDT,2023,1.5,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",69,67,5.77,0.971,False,,1.02,35.8,0.01,1.442,-0.789,0.68,-6.51,5.6,0,58,9
ETHUSDT,2023,2.0,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",69,67,5.77,0.971,False,,0.952,29.9,-0.025,1.636,-0.731,-1.65,-7.21,5.6,0,56,11
ETHUSDT,2023,2.5,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",69,67,5.77,0.971,False,,1.211,26.9,0.11,2.339,-0.709,7.35,-7.25,5.6,0,54,13
ETHUSDT,2023,3.0,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",69,67,5.77,0.971,False,upper_contingency,1.106,22.4,0.056,2.583,-0.673,3.73,-6.92,5.6,0,53,14
SOLUSDT,2023,1.5,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",56,56,4.7,1.0,False,,1.279,39.3,0.144,1.688,-0.854,8.09,-4.31,4.7,0,47,9
SOLUSDT,2023,2.0,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",56,56,4.7,1.0,False,,1.138,28.6,0.072,2.088,-0.734,4.04,-6.3,4.7,0,46,10
SOLUSDT,2023,2.5,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",56,56,4.7,1.0,False,,1.203,26.8,0.107,2.363,-0.719,5.98,-5.87,4.7,0,45,11
SOLUSDT,2023,1.25,"H2.2 anchor (be=1.0R/distance=1.0R, activation variable)",56,56,4.7,1.0,False,lower_contingency,1.256,39.3,0.133,1.658,-0.854,7.43,-4.62,4.7,0,47,9
