asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,1.0,V3-A (1R/2R/1R),1.31,1.012,False,False,False,
BTCUSDT,1.0,V3-B (0.75R/1.5R/0.75R),1.3,0.812,False,False,False,
BTCUSDT,1.5,V3-A (1R/2R/1R),0.895,0.713,False,False,False,
BTCUSDT,1.5,V3-B (0.75R/1.5R/0.75R),1.208,0.811,False,False,False,
BTCUSDT,2.0,V3-A (1R/2R/1R),1.102,0.685,False,False,False,
BTCUSDT,2.0,V3-B (0.75R/1.5R/0.75R),1.007,0.659,False,False,False,
BTCUSDT,3.0,V3-A (1R/2R/1R),1.356,0.631,False,False,False,
BTCUSDT,3.0,V3-B (0.75R/1.5R/0.75R),1.234,0.7,False,False,False,
ETHUSDT,1.0,V3-A (1R/2R/1R),0.939,0.617,False,False,False,
ETHUSDT,1.0,V3-B (0.75R/1.5R/0.75R),0.664,0.949,False,False,False,
ETHUSDT,1.5,V3-A (1R/2R/1R),0.971,0.952,False,False,False,
ETHUSDT,1.5,V3-B (0.75R/1.5R/0.75R),0.867,0.908,False,False,False,
ETHUSDT,2.0,V3-A (1R/2R/1R),1.054,1.053,False,False,False,
ETHUSDT,2.0,V3-B (0.75R/1.5R/0.75R),0.803,0.971,False,False,False,
ETHUSDT,3.0,V3-A (1R/2R/1R),1.316,0.756,False,False,False,
ETHUSDT,3.0,V3-B (0.75R/1.5R/0.75R),1.323,0.896,False,False,False,
SOLUSDT,1.0,V3-A (1R/2R/1R),1.086,1.457,False,False,False,
SOLUSDT,1.0,V3-B (0.75R/1.5R/0.75R),1.04,0.867,False,False,False,
SOLUSDT,1.5,V3-A (1R/2R/1R),1.152,1.138,False,False,False,
SOLUSDT,1.5,V3-B (0.75R/1.5R/0.75R),1.226,1.312,False,False,False,
SOLUSDT,2.0,V3-A (1R/2R/1R),0.958,1.283,False,False,False,
SOLUSDT,2.0,V3-B (0.75R/1.5R/0.75R),1.05,1.238,False,False,False,
SOLUSDT,3.0,V3-A (1R/2R/1R),1.014,1.567,False,False,False,
SOLUSDT,3.0,V3-B (0.75R/1.5R/0.75R),1.189,1.071,False,False,False,
