asset,year,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout
BTCUSDT,2022,1.0,V3-A (1R/2R/1R),63,62,5.28,0.984,False,1.31,35.5,0.156,1.854,-0.778,9.65,-2.39,5.2,0,58,4
BTCUSDT,2022,1.0,V3-B (0.75R/1.5R/0.75R),63,62,5.28,0.984,False,1.3,35.5,0.14,1.712,-0.724,8.69,-3.09,5.2,0,61,1
BTCUSDT,2022,1.5,V3-A (1R/2R/1R),63,62,5.28,0.984,False,0.895,27.4,-0.052,1.629,-0.688,-3.25,-4.63,5.2,0,54,8
BTCUSDT,2022,1.5,V3-B (0.75R/1.5R/0.75R),63,62,5.28,0.984,False,1.208,37.1,0.083,1.306,-0.638,5.17,-2.29,5.2,0,56,6
BTCUSDT,2022,2.0,V3-A (1R/2R/1R),63,60,5.25,0.952,False,1.102,31.7,0.042,1.419,-0.597,2.49,-2.88,5.0,0,43,17
BTCUSDT,2022,2.0,V3-B (0.75R/1.5R/0.75R),63,60,5.25,0.952,False,1.007,31.7,0.003,1.226,-0.564,0.17,-2.91,5.0,0,48,12
BTCUSDT,2022,3.0,V3-A (1R/2R/1R),63,60,5.25,0.952,False,1.356,41.7,0.124,1.13,-0.595,7.42,-2.02,5.0,0,27,33
BTCUSDT,2022,3.0,V3-B (0.75R/1.5R/0.75R),63,60,5.25,0.952,False,1.234,35.0,0.074,1.109,-0.484,4.42,-2.62,5.0,0,32,28
ETHUSDT,2022,1.0,V3-A (1R/2R/1R),49,48,4.08,0.98,False,0.939,29.2,-0.031,1.661,-0.728,-1.51,-3.37,4.0,0,44,4
ETHUSDT,2022,1.0,V3-B (0.75R/1.5R/0.75R),49,48,4.08,0.98,False,0.664,25.0,-0.167,1.317,-0.661,-8.01,-4.84,4.0,0,47,1
ETHUSDT,2022,1.5,V3-A (1R/2R/1R),49,48,4.08,0.98,False,0.971,33.3,-0.014,1.397,-0.719,-0.67,-1.95,4.0,0,38,10
ETHUSDT,2022,1.5,V3-B (0.75R/1.5R/0.75R),49,48,4.08,0.98,False,0.867,31.2,-0.061,1.259,-0.661,-2.91,-2.32,4.0,0,43,5
ETHUSDT,2022,2.0,V3-A (1R/2R/1R),49,48,4.08,0.98,False,1.054,37.5,0.024,1.256,-0.715,1.16,-2.2,4.0,0,31,17
ETHUSDT,2022,2.0,V3-B (0.75R/1.5R/0.75R),49,48,4.08,0.98,False,0.803,31.2,-0.084,1.101,-0.623,-4.04,-2.35,4.0,0,39,9
ETHUSDT,2022,3.0,V3-A (1R/2R/1R),49,47,4.17,0.959,False,1.316,48.9,0.097,0.828,-0.603,4.57,-1.33,4.0,0,13,34
ETHUSDT,2022,3.0,V3-B (0.75R/1.5R/0.75R),49,47,4.17,0.959,False,1.323,44.7,0.089,0.814,-0.497,4.18,-1.22,4.0,0,20,27
SOLUSDT,2022,1.0,V3-A (1R/2R/1R),63,61,5.37,0.968,False,1.086,27.9,0.037,1.688,-0.6,2.28,-4.18,5.2,0,56,5
SOLUSDT,2022,1.0,V3-B (0.75R/1.5R/0.75R),63,61,5.37,0.968,False,1.04,29.5,0.017,1.463,-0.589,1.01,-4.28,5.2,0,60,1
SOLUSDT,2022,1.5,V3-A (1R/2R/1R),63,61,5.37,0.968,False,1.152,32.8,0.071,1.649,-0.698,4.35,-4.6,5.2,0,56,5
SOLUSDT,2022,1.5,V3-B (0.75R/1.5R/0.75R),63,61,5.37,0.968,False,1.226,32.8,0.084,1.389,-0.553,5.12,-3.15,5.2,0,58,3
SOLUSDT,2022,2.0,V3-A (1R/2R/1R),63,61,5.37,0.968,False,0.958,34.4,-0.018,1.195,-0.655,-1.09,-3.25,5.2,0,40,21
SOLUSDT,2022,2.0,V3-B (0.75R/1.5R/0.75R),63,61,5.37,0.968,False,1.05,32.8,0.02,1.269,-0.589,1.21,-4.03,5.2,0,50,11
SOLUSDT,2022,3.0,V3-A (1R/2R/1R),63,61,5.37,0.968,False,1.014,44.3,0.004,0.724,-0.567,0.27,-3.0,5.2,0,20,41
SOLUSDT,2022,3.0,V3-B (0.75R/1.5R/0.75R),63,61,5.37,0.968,False,1.189,45.9,0.054,0.743,-0.53,3.3,-2.58,5.2,0,28,33
BTCUSDT,2023,1.0,V3-A (1R/2R/1R),62,61,5.39,0.984,False,1.012,32.8,0.008,1.944,-0.937,0.48,-3.44,5.3,0,58,3
BTCUSDT,2023,1.0,V3-B (0.75R/1.5R/0.75R),62,61,5.39,0.984,False,0.812,31.1,-0.108,1.503,-0.837,-6.59,-4.82,5.3,0,58,3
BTCUSDT,2023,1.5,V3-A (1R/2R/1R),62,61,5.39,0.984,False,0.713,24.6,-0.169,1.702,-0.779,-10.29,-5.18,5.3,0,53,8
BTCUSDT,2023,1.5,V3-B (0.75R/1.5R/0.75R),62,61,5.39,0.984,False,0.811,31.1,-0.103,1.413,-0.788,-6.26,-4.09,5.3,0,55,6
BTCUSDT,2023,2.0,V3-A (1R/2R/1R),62,61,5.39,0.984,False,0.685,24.6,-0.156,1.385,-0.659,-9.53,-4.73,5.3,0,46,15
BTCUSDT,2023,2.0,V3-B (0.75R/1.5R/0.75R),62,61,5.39,0.984,False,0.659,24.6,-0.163,1.278,-0.633,-9.93,-5.29,5.3,0,50,11
BTCUSDT,2023,3.0,V3-A (1R/2R/1R),62,60,5.37,0.968,False,0.631,28.3,-0.14,0.845,-0.529,-8.39,-5.59,5.2,0,28,32
BTCUSDT,2023,3.0,V3-B (0.75R/1.5R/0.75R),62,60,5.37,0.968,False,0.7,28.3,-0.108,0.885,-0.5,-6.46,-4.35,5.2,0,32,28
ETHUSDT,2023,1.0,V3-A (1R/2R/1R),69,69,5.8,1.0,False,0.617,24.6,-0.227,1.485,-0.787,-15.67,-12.23,5.8,0,66,3
ETHUSDT,2023,1.0,V3-B (0.75R/1.5R/0.75R),69,69,5.8,1.0,False,0.949,34.8,-0.025,1.321,-0.742,-1.71,-8.18,5.8,0,68,1
ETHUSDT,2023,1.5,V3-A (1R/2R/1R),69,67,5.77,0.971,False,0.952,29.9,-0.025,1.636,-0.731,-1.65,-7.21,5.6,0,56,11
ETHUSDT,2023,1.5,V3-B (0.75R/1.5R/0.75R),69,67,5.77,0.971,False,0.908,32.8,-0.041,1.219,-0.657,-2.73,-6.23,5.6,0,61,6
