asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,1.0 | dcv1_activo_15h,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",0.722,1.185,False,False,False,
BTCUSDT,1.5 | dcv1_activo_15h,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",0.681,1.021,False,False,False,
BTCUSDT,2.0 | dcv1_activo_15h,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",0.775,0.967,False,False,False,
BTCUSDT,3.0 | dcv1_activo_15h,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",1.031,0.875,False,False,False,
ETHUSDT,1.0 | dcv1_activo_15h,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",1.2,0.664,False,False,False,
ETHUSDT,1.5 | dcv1_activo_15h,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",1.033,0.782,False,False,False,
ETHUSDT,2.0 | dcv1_activo_15h,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",1.141,0.825,False,False,False,
ETHUSDT,3.0 | dcv1_activo_15h,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",1.263,0.676,False,False,False,
SOLUSDT,1.0 | dcv1_activo_15h,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",1.04,1.196,False,False,False,
SOLUSDT,1.5 | dcv1_activo_15h,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",1.003,1.272,False,False,False,
SOLUSDT,2.0 | dcv1_activo_15h,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",0.954,1.372,False,False,False,
SOLUSDT,3.0 | dcv1_activo_15h,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",1.151,1.408,False,False,False,
