asset,year,atr_mult,hypothesis,pf_control_8h,pf_dcv1_activo_15h,delta_pf,freq_control_8h,freq_dcv1_activo_15h,delta_freq
BTCUSDT,2022,1.0,secondary,1.31,0.722,-0.588,5.2,9.9,4.7
BTCUSDT,2022,1.5,secondary,0.895,0.681,-0.214,5.2,9.6,4.4
BTCUSDT,2022,2.0,secondary,1.102,0.775,-0.327,5.0,9.2,4.2
BTCUSDT,2022,3.0,primary,1.356,1.031,-0.325,5.0,9.1,4.1
BTCUSDT,2023,1.0,secondary,1.012,1.185,0.173,5.3,9.3,4.0
BTCUSDT,2023,1.5,secondary,0.713,1.021,0.308,5.3,9.2,3.9
BTCUSDT,2023,2.0,secondary,0.685,0.967,0.282,5.3,9.0,3.7
BTCUSDT,2023,3.0,primary,0.631,0.875,0.244,5.2,8.9,3.7
ETHUSDT,2022,1.0,secondary,0.939,1.2,0.261,4.0,9.0,5.0
ETHUSDT,2022,1.5,secondary,0.971,1.033,0.062,4.0,9.0,5.0
ETHUSDT,2022,2.0,secondary,1.054,1.141,0.087,4.0,8.7,4.7
ETHUSDT,2022,3.0,primary,1.316,1.263,-0.053,4.0,8.4,4.4
ETHUSDT,2023,1.0,secondary,0.617,0.664,0.047,5.8,9.7,3.9
ETHUSDT,2023,1.5,secondary,0.952,0.782,-0.17,5.6,9.4,3.8
ETHUSDT,2023,2.0,secondary,1.053,0.825,-0.228,5.6,9.3,3.7
ETHUSDT,2023,3.0,primary,0.756,0.676,-0.08,5.5,9.0,3.5
SOLUSDT,2022,1.0,secondary,1.086,1.04,-0.046,5.2,8.8,3.6
SOLUSDT,2022,1.5,secondary,1.152,1.003,-0.149,5.2,8.6,3.4
SOLUSDT,2022,2.0,secondary,0.958,0.954,-0.004,5.2,8.4,3.2
SOLUSDT,2022,3.0,primary,1.014,1.151,0.137,5.2,8.4,3.2
SOLUSDT,2023,1.0,secondary,1.457,1.196,-0.261,4.7,8.3,3.6
SOLUSDT,2023,1.5,secondary,1.138,1.272,0.134,4.7,8.2,3.5
SOLUSDT,2023,2.0,secondary,1.283,1.372,0.089,4.7,7.9,3.2
SOLUSDT,2023,3.0,primary,1.567,1.408,-0.159,4.6,7.8,3.2
