asset,year,role,session,atr_mult,candidate,hypothesis,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout,source
BTCUSDT,2022,control,control_8h,1.0,1.0 | control_8h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",63,62,5.28,0.984,False,1.31,35.5,0.156,1.854,-0.778,9.65,-2.39,5.2,0,58,4,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
BTCUSDT,2022,control,control_8h,1.5,1.5 | control_8h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",63,62,5.28,0.984,False,0.895,27.4,-0.052,1.629,-0.688,-3.25,-4.63,5.2,0,54,8,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
BTCUSDT,2022,control,control_8h,2.0,2.0 | control_8h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",63,60,5.25,0.952,False,1.102,31.7,0.042,1.419,-0.597,2.49,-2.88,5.0,0,43,17,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
BTCUSDT,2022,control,control_8h,3.0,3.0 | control_8h,primary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",63,60,5.25,0.952,False,1.356,41.7,0.124,1.13,-0.595,7.42,-2.02,5.0,0,27,33,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
ETHUSDT,2022,control,control_8h,1.0,1.0 | control_8h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",49,48,4.08,0.98,False,0.939,29.2,-0.031,1.661,-0.728,-1.51,-3.37,4.0,0,44,4,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
ETHUSDT,2022,control,control_8h,1.5,1.5 | control_8h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",49,48,4.08,0.98,False,0.971,33.3,-0.014,1.397,-0.719,-0.67,-1.95,4.0,0,38,10,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
ETHUSDT,2022,control,control_8h,2.0,2.0 | control_8h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",49,48,4.08,0.98,False,1.054,37.5,0.024,1.256,-0.715,1.16,-2.2,4.0,0,31,17,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
ETHUSDT,2022,control,control_8h,3.0,3.0 | control_8h,primary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",49,47,4.17,0.959,False,1.316,48.9,0.097,0.828,-0.603,4.57,-1.33,4.0,0,13,34,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
SOLUSDT,2022,control,control_8h,1.0,1.0 | control_8h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",63,61,5.37,0.968,False,1.086,27.9,0.037,1.688,-0.6,2.28,-4.18,5.2,0,56,5,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
SOLUSDT,2022,control,control_8h,1.5,1.5 | control_8h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",63,61,5.37,0.968,False,1.152,32.8,0.071,1.649,-0.698,4.35,-4.6,5.2,0,56,5,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
SOLUSDT,2022,control,control_8h,2.0,2.0 | control_8h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",63,61,5.37,0.968,False,0.958,34.4,-0.018,1.195,-0.655,-1.09,-3.25,5.2,0,40,21,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
SOLUSDT,2022,control,control_8h,3.0,3.0 | control_8h,primary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",63,61,5.37,0.968,False,1.014,44.3,0.004,0.724,-0.567,0.27,-3.0,5.2,0,20,41,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
