asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,0.25,"H2.3 anchor (activation=2.0R/distance=1.0R, be variable)",1.38,,False,,False,
BTCUSDT,0.5,"H2.3 anchor (activation=2.0R/distance=1.0R, be variable)",1.014,0.644,False,False,False,
BTCUSDT,1.0,"H2.3 anchor (activation=2.0R/distance=1.0R, be variable)",0.895,0.713,False,False,False,
BTCUSDT,1.5,"H2.3 anchor (activation=2.0R/distance=1.0R, be variable)",0.866,0.892,False,False,False,
BTCUSDT,2.0,"H2.3 anchor (activation=2.0R/distance=1.0R, be variable)",,0.921,,False,False,
ETHUSDT,0.25,"H2.3 anchor (activation=2.0R/distance=1.0R, be variable)",,1.206,,False,False,
ETHUSDT,0.5,"H2.3 anchor (activation=2.0R/distance=1.0R, be variable)",0.888,1.071,False,False,False,
ETHUSDT,1.0,"H2.3 anchor (activation=2.0R/distance=1.0R, be variable)",0.971,0.952,False,False,False,
ETHUSDT,1.5,"H2.3 anchor (activation=2.0R/distance=1.0R, be variable)",1.207,1.056,False,False,False,
ETHUSDT,2.0,"H2.3 anchor (activation=2.0R/distance=1.0R, be variable)",1.256,,False,,False,
SOLUSDT,0.25,"H2.3 anchor (activation=2.0R/distance=1.0R, be variable)",1.339,,False,,False,
SOLUSDT,0.5,"H2.3 anchor (activation=2.0R/distance=1.0R, be variable)",1.471,0.819,False,False,False,
SOLUSDT,1.0,"H2.3 anchor (activation=2.0R/distance=1.0R, be variable)",1.152,1.138,False,False,False,
SOLUSDT,1.5,"H2.3 anchor (activation=2.0R/distance=1.0R, be variable)",1.162,1.134,False,False,False,
