asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,10 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",0.938,0.782,False,False,False,
BTCUSDT,10 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",0.67,1.059,False,False,False,
BTCUSDT,20 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",0.895,0.713,False,False,False,
BTCUSDT,20 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",0.681,1.021,False,False,False,
BTCUSDT,30 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",0.827,0.67,False,False,False,
BTCUSDT,30 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",0.616,1.017,False,False,False,
BTCUSDT,5 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",1.14,0.897,False,False,False,
BTCUSDT,5 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",,1.054,,False,False,
ETHUSDT,10 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",0.839,0.885,False,False,False,
ETHUSDT,10 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",0.901,0.808,False,False,False,
ETHUSDT,20 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",0.971,0.952,False,False,False,
ETHUSDT,20 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",1.033,0.782,False,False,False,
ETHUSDT,30 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",1.068,1.175,False,False,False,
ETHUSDT,30 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",1.068,0.932,False,False,False,
ETHUSDT,40 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",1.187,1.287,False,False,False,
ETHUSDT,40 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",1.105,0.995,False,False,False,
SOLUSDT,10 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",1.093,1.256,False,False,False,
SOLUSDT,10 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",1.093,1.364,False,False,False,
SOLUSDT,20 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",1.152,1.138,False,False,False,
SOLUSDT,20 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",1.003,1.272,False,False,False,
SOLUSDT,30 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",1.294,1.084,False,False,False,
SOLUSDT,30 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",1.075,1.17,False,False,False,
SOLUSDT,40 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",1.243,,False,,False,
SOLUSDT,5 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",,0.853,,False,False,
SOLUSDT,5 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",1.349,1.047,False,False,False,
