asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,0.5 | 1.5 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",0.758,1.245,False,False,False,
BTCUSDT,0.5 | 1.5 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",0.797,1.21,False,False,False,
BTCUSDT,0.5 | 1.5 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",0.876,1.378,False,False,False,
BTCUSDT,0.5 | 2.0 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",0.673,1.209,False,False,False,
BTCUSDT,0.5 | 2.0 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",0.809,1.153,False,False,False,
BTCUSDT,0.5 | 2.0 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",0.875,1.3,False,False,False,
BTCUSDT,0.5 | 2.5 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",0.7,1.234,False,False,False,
BTCUSDT,0.5 | 2.5 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",0.806,1.153,False,False,False,
BTCUSDT,0.5 | 2.5 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",0.922,1.299,False,False,False,
BTCUSDT,0.75 | 1.5 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",0.669,1.181,False,False,False,
BTCUSDT,0.75 | 1.5 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",0.758,1.128,False,False,False,
BTCUSDT,0.75 | 1.5 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",0.829,1.286,False,False,False,
BTCUSDT,0.75 | 2.0 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",0.602,1.195,False,False,False,
