asset,year,role,session,distance,activation,be,candidate,evidence,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be_exits,reason_stop,reason_timeout
BTCUSDT,2022,candidate,dcv1_activo_15h,0.5,1.5,0.5,0.5 | 1.5 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,118,9.98,0.992,False,0.758,23.7,-0.108,1.435,-0.589,-12.8,-8.03,9.9,0,114,4
BTCUSDT,2022,candidate,dcv1_activo_15h,0.5,1.5,1.0,0.5 | 1.5 | 1.0,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.797,33.0,-0.111,1.316,-0.815,-12.75,-9.7,9.6,0,101,14
BTCUSDT,2022,candidate,dcv1_activo_15h,0.5,1.5,1.5,0.5 | 1.5 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.876,40.9,-0.072,1.251,-0.987,-8.32,-8.72,9.6,0,93,22
BTCUSDT,2022,candidate,dcv1_activo_15h,0.5,2.0,0.5,0.5 | 2.0 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,118,9.98,0.992,False,0.673,16.1,-0.15,1.915,-0.546,-17.65,-10.3,9.9,0,113,5
BTCUSDT,2022,candidate,dcv1_activo_15h,0.5,2.0,1.0,0.5 | 2.0 | 1.0,replica,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.809,27.0,-0.106,1.66,-0.757,-12.16,-9.74,9.6,0,99,16
BTCUSDT,2022,candidate,dcv1_activo_15h,0.5,2.0,1.5,0.5 | 2.0 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.875,34.8,-0.074,1.487,-0.907,-8.51,-9.32,9.6,0,90,25
BTCUSDT,2022,candidate,dcv1_activo_15h,0.5,2.5,0.5,0.5 | 2.5 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,118,9.98,0.992,False,0.7,15.3,-0.137,2.105,-0.541,-16.22,-10.15,9.9,0,109,9
BTCUSDT,2022,candidate,dcv1_activo_15h,0.5,2.5,1.0,0.5 | 2.5 | 1.0,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.806,25.2,-0.107,1.774,-0.742,-12.36,-10.38,9.6,0,95,20
BTCUSDT,2022,candidate,dcv1_activo_15h,0.5,2.5,1.5,0.5 | 2.5 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.922,33.0,-0.046,1.653,-0.885,-5.33,-8.45,9.6,0,86,29
BTCUSDT,2022,candidate,dcv1_activo_15h,0.75,1.5,0.5,0.75 | 1.5 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,118,9.98,0.992,False,0.669,23.7,-0.148,1.266,-0.589,-17.52,-9.17,9.9,0,114,4
BTCUSDT,2022,candidate,dcv1_activo_15h,0.75,1.5,1.0,0.75 | 1.5 | 1.0,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.758,33.0,-0.132,1.251,-0.815,-15.18,-9.28,9.6,0,101,14
BTCUSDT,2022,candidate,dcv1_activo_15h,0.75,1.5,1.5,0.75 | 1.5 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.829,40.9,-0.1,1.183,-0.987,-11.49,-8.51,9.6,0,93,22
BTCUSDT,2022,candidate,dcv1_activo_15h,0.75,2.0,0.5,0.75 | 2.0 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,118,9.98,0.992,False,0.602,16.1,-0.182,1.712,-0.546,-21.51,-11.7,9.9,0,113,5
BTCUSDT,2022,candidate,dcv1_activo_15h,0.75,2.0,1.0,0.75 | 2.0 | 1.0,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.729,27.0,-0.15,1.495,-0.757,-17.27,-11.34,9.6,0,99,16
BTCUSDT,2022,candidate,dcv1_activo_15h,0.75,2.0,1.5,0.75 | 2.0 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.793,34.8,-0.123,1.347,-0.907,-14.11,-11.03,9.6,0,90,25
BTCUSDT,2022,candidate,dcv1_activo_15h,0.75,2.5,0.5,0.75 | 2.5 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,118,9.98,0.992,False,0.651,15.3,-0.16,1.958,-0.541,-18.88,-10.99,9.9,0,109,9
BTCUSDT,2022,candidate,dcv1_activo_15h,0.75,2.5,1.0,0.75 | 2.5 | 1.0,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.749,25.2,-0.139,1.648,-0.742,-16.01,-11.44,9.6,0,95,20
BTCUSDT,2022,candidate,dcv1_activo_15h,0.75,2.5,1.5,0.75 | 2.5 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.857,33.0,-0.085,1.537,-0.885,-9.74,-9.75,9.6,0,86,29
BTCUSDT,2022,candidate,dcv1_activo_15h,1.0,1.5,0.5,1.0 | 1.5 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,118,9.98,0.992,False,0.568,23.7,-0.194,1.075,-0.589,-22.87,-10.91,9.9,0,114,4
BTCUSDT,2022,candidate,dcv1_activo_15h,1.0,1.5,1.0,1.0 | 1.5 | 1.0,replica,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.666,33.0,-0.182,1.1,-0.815,-20.95,-10.64,9.6,0,101,14
BTCUSDT,2022,candidate,dcv1_activo_15h,1.0,1.5,1.5,1.0 | 1.5 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.728,40.9,-0.159,1.039,-0.987,-18.26,-10.42,9.6,0,93,22
BTCUSDT,2022,candidate,dcv1_activo_15h,1.0,2.0,0.5,1.0 | 2.0 | 0.5,replica,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,118,9.98,0.992,False,0.558,16.1,-0.202,1.587,-0.546,-23.88,-12.76,9.9,0,113,5
BTCUSDT,2022,anchor,dcv1_activo_15h,1.0,2.0,1.0,1.0 | 2.0 | 1.0,replica,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.681,27.0,-0.177,1.397,-0.757,-20.31,-12.27,9.6,0,99,16
BTCUSDT,2022,candidate,dcv1_activo_15h,1.0,2.0,1.5,1.0 | 2.0 | 1.5,replica,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.737,34.8,-0.156,1.252,-0.907,-17.9,-12.19,9.6,0,90,25
BTCUSDT,2022,candidate,dcv1_activo_15h,1.0,2.5,0.5,1.0 | 2.5 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,118,9.98,0.992,False,0.601,15.3,-0.183,1.808,-0.541,-21.58,-11.87,9.9,0,109,9
BTCUSDT,2022,candidate,dcv1_activo_15h,1.0,2.5,1.0,1.0 | 2.5 | 1.0,replica,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.7,25.2,-0.166,1.54,-0.742,-19.13,-12.27,9.6,0,95,20
BTCUSDT,2022,candidate,dcv1_activo_15h,1.0,2.5,1.5,1.0 | 2.5 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.8,33.0,-0.118,1.436,-0.885,-13.6,-10.82,9.6,0,86,29
