asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,control_8h,V3-A (1R/2R/1R),0.895,0.713,False,False,False,
BTCUSDT,control_8h,V3-B (0.75R/1.5R/0.75R),1.208,0.811,False,False,False,
BTCUSDT,dcv1_activo_15h,V3-A (1R/2R/1R),0.681,1.021,False,False,False,
BTCUSDT,dcv1_activo_15h,V3-B (0.75R/1.5R/0.75R),0.71,1.107,False,False,False,
BTCUSDT,sin_filtro_24h,V3-A (1R/2R/1R),0.735,0.883,False,False,False,
BTCUSDT,sin_filtro_24h,V3-B (0.75R/1.5R/0.75R),0.777,1.003,False,False,False,
ETHUSDT,control_8h,V3-A (1R/2R/1R),0.971,0.952,False,False,False,
ETHUSDT,control_8h,V3-B (0.75R/1.5R/0.75R),0.867,0.908,False,False,False,
ETHUSDT,dcv1_activo_15h,V3-A (1R/2R/1R),1.033,0.782,False,False,False,
ETHUSDT,dcv1_activo_15h,V3-B (0.75R/1.5R/0.75R),1.016,0.749,False,False,False,
ETHUSDT,sin_filtro_24h,V3-A (1R/2R/1R),1.072,0.688,False,False,False,
ETHUSDT,sin_filtro_24h,V3-B (0.75R/1.5R/0.75R),1.194,0.693,False,False,False,
SOLUSDT,control_8h,V3-A (1R/2R/1R),1.152,1.138,False,False,False,
SOLUSDT,control_8h,V3-B (0.75R/1.5R/0.75R),1.226,1.312,False,False,False,
SOLUSDT,dcv1_activo_15h,V3-A (1R/2R/1R),1.003,1.272,False,False,False,
SOLUSDT,dcv1_activo_15h,V3-B (0.75R/1.5R/0.75R),0.904,1.418,False,False,False,
SOLUSDT,sin_filtro_24h,V3-A (1R/2R/1R),1.024,1.466,False,False,False,
SOLUSDT,sin_filtro_24h,V3-B (0.75R/1.5R/0.75R),1.054,1.439,False,False,False,
