asset,year,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout
BTCUSDT,2022,control_8h,V3-A (1R/2R/1R),63,62,5.28,0.984,False,0.895,27.4,-0.052,1.629,-0.688,-3.25,-4.63,5.2,0,54,8
BTCUSDT,2022,control_8h,V3-B (0.75R/1.5R/0.75R),63,62,5.28,0.984,False,1.208,37.1,0.083,1.306,-0.638,5.17,-2.29,5.2,0,56,6
BTCUSDT,2022,dcv1_activo_15h,V3-A (1R/2R/1R),119,115,9.93,0.966,False,0.681,27.0,-0.177,1.397,-0.757,-20.31,-12.27,9.6,0,99,16
BTCUSDT,2022,dcv1_activo_15h,V3-B (0.75R/1.5R/0.75R),119,116,9.95,0.975,False,0.71,28.4,-0.142,1.221,-0.684,-16.48,-10.71,9.7,0,106,10
BTCUSDT,2022,sin_filtro_24h,V3-A (1R/2R/1R),172,159,14.28,0.924,False,0.735,28.3,-0.141,1.387,-0.745,-22.46,-14.4,13.2,0,137,22
BTCUSDT,2022,sin_filtro_24h,V3-B (0.75R/1.5R/0.75R),172,161,14.32,0.936,False,0.777,28.6,-0.105,1.285,-0.662,-16.97,-13.63,13.4,0,148,13
ETHUSDT,2022,control_8h,V3-A (1R/2R/1R),49,48,4.08,0.98,False,0.971,33.3,-0.014,1.397,-0.719,-0.67,-1.95,4.0,0,38,10
ETHUSDT,2022,control_8h,V3-B (0.75R/1.5R/0.75R),49,48,4.08,0.98,False,0.867,31.2,-0.061,1.259,-0.661,-2.91,-2.32,4.0,0,43,5
ETHUSDT,2022,dcv1_activo_15h,V3-A (1R/2R/1R),113,107,9.5,0.947,False,1.033,34.6,0.016,1.488,-0.762,1.75,-6.74,9.0,0,83,24
ETHUSDT,2022,dcv1_activo_15h,V3-B (0.75R/1.5R/0.75R),113,107,9.5,0.947,False,1.016,36.4,0.007,1.3,-0.734,0.79,-5.57,9.0,0,92,15
ETHUSDT,2022,sin_filtro_24h,V3-A (1R/2R/1R),167,152,13.84,0.91,False,1.072,34.9,0.034,1.478,-0.738,5.24,-8.07,12.6,0,121,31
ETHUSDT,2022,sin_filtro_24h,V3-B (0.75R/1.5R/0.75R),167,152,13.84,0.91,False,1.194,38.2,0.086,1.385,-0.716,13.03,-5.77,12.6,0,135,17
SOLUSDT,2022,control_8h,V3-A (1R/2R/1R),63,61,5.37,0.968,False,1.152,32.8,0.071,1.649,-0.698,4.35,-4.6,5.2,0,56,5
SOLUSDT,2022,control_8h,V3-B (0.75R/1.5R/0.75R),63,61,5.37,0.968,False,1.226,32.8,0.084,1.389,-0.553,5.12,-3.15,5.2,0,58,3
SOLUSDT,2022,dcv1_activo_15h,V3-A (1R/2R/1R),107,103,8.93,0.963,False,1.003,31.1,0.001,1.539,-0.691,0.15,-5.44,8.6,0,87,16
SOLUSDT,2022,dcv1_activo_15h,V3-B (0.75R/1.5R/0.75R),107,104,8.95,0.972,False,0.904,29.8,-0.038,1.197,-0.562,-3.92,-6.15,8.7,0,94,10
SOLUSDT,2022,sin_filtro_24h,V3-A (1R/2R/1R),169,154,14.05,0.911,False,1.024,30.5,0.012,1.636,-0.701,1.82,-10.87,12.8,0,131,23
SOLUSDT,2022,sin_filtro_24h,V3-B (0.75R/1.5R/0.75R),169,156,14.08,0.923,False,1.054,30.8,0.022,1.378,-0.581,3.37,-8.8,13.0,0,143,13
BTCUSDT,2023,control_8h,V3-A (1R/2R/1R),62,61,5.39,0.984,False,0.713,24.6,-0.169,1.702,-0.779,-10.29,-5.18,5.3,0,53,8
BTCUSDT,2023,control_8h,V3-B (0.75R/1.5R/0.75R),62,61,5.39,0.984,False,0.811,31.1,-0.103,1.413,-0.788,-6.26,-4.09,5.3,0,55,6
BTCUSDT,2023,dcv1_activo_15h,V3-A (1R/2R/1R),110,108,9.37,0.982,False,1.021,29.6,0.012,1.935,-0.798,1.28,-6.88,9.2,0,93,15
BTCUSDT,2023,dcv1_activo_15h,V3-B (0.75R/1.5R/0.75R),110,109,9.39,0.991,False,1.107,31.2,0.055,1.828,-0.748,6.03,-6.05,9.3,0,98,11
BTCUSDT,2023,sin_filtro_24h,V3-A (1R/2R/1R),156,146,13.25,0.936,False,0.883,28.8,-0.067,1.764,-0.807,-9.84,-11.37,12.4,0,125,21
BTCUSDT,2023,sin_filtro_24h,V3-B (0.75R/1.5R/0.75R),156,147,13.27,0.942,False,1.003,32.0,0.002,1.641,-0.769,0.22,-7.79,12.5,0,132,15
ETHUSDT,2023,control_8h,V3-A (1R/2R/1R),69,67,5.77,0.971,False,0.952,29.9,-0.025,1.636,-0.731,-1.65,-7.21,5.6,0,56,11
ETHUSDT,2023,control_8h,V3-B (0.75R/1.5R/0.75R),69,67,5.77,0.971,False,0.908,32.8,-0.041,1.219,-0.657,-2.73,-6.23,5.6,0,61,6
ETHUSDT,2023,dcv1_activo_15h,V3-A (1R/2R/1R),118,113,9.82,0.958,False,0.782,26.5,-0.119,1.606,-0.743,-13.44,-12.44,9.4,0,95,18
ETHUSDT,2023,dcv1_activo_15h,V3-B (0.75R/1.5R/0.75R),118,113,9.82,0.958,False,0.749,29.2,-0.118,1.206,-0.664,-13.36,-9.5,9.4,0,101,12
ETHUSDT,2023,sin_filtro_24h,V3-A (1R/2R/1R),161,149,13.51,0.925,False,0.688,25.5,-0.181,1.562,-0.777,-26.91,-18.11,12.5,0,130,19
ETHUSDT,2023,sin_filtro_24h,V3-B (0.75R/1.5R/0.75R),161,149,13.51,0.925,False,0.693,28.9,-0.152,1.186,-0.694,-22.58,-13.72,12.5,0,136,13
SOLUSDT,2023,control_8h,V3-A (1R/2R/1R),56,56,4.7,1.0,False,1.138,28.6,0.072,2.088,-0.734,4.04,-6.3,4.7,0,46,10
SOLUSDT,2023,control_8h,V3-B (0.75R/1.5R/0.75R),56,56,4.7,1.0,False,1.312,30.4,0.146,2.025,-0.673,8.18,-3.92,4.7,0,53,3
SOLUSDT,2023,dcv1_activo_15h,V3-A (1R/2R/1R),100,98,8.37,0.98,False,1.272,31.6,0.132,1.958,-0.713,12.96,-5.22,8.2,0,77,21
SOLUSDT,2023,dcv1_activo_15h,V3-B (0.75R/1.5R/0.75R),100,98,8.37,0.98,False,1.418,31.6,0.176,1.891,-0.617,17.28,-5.18,8.2,0,92,6
SOLUSDT,2023,sin_filtro_24h,V3-A (1R/2R/1R),162,152,13.54,0.938,False,1.466,34.2,0.202,1.853,-0.657,30.64,-4.31,12.7,0,123,29
SOLUSDT,2023,sin_filtro_24h,V3-B (0.75R/1.5R/0.75R),162,152,13.54,0.938,False,1.439,34.2,0.173,1.655,-0.598,26.26,-4.99,12.7,0,142,10
