asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,0.25,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",,0.903,,False,False,
BTCUSDT,0.5,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",1.07,0.858,False,False,False,
BTCUSDT,0.75,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",0.961,0.803,False,False,False,
BTCUSDT,1.0,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",0.895,0.713,False,False,False,
BTCUSDT,1.25,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",1.062,,False,,False,
BTCUSDT,1.5,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",1.104,0.547,False,False,False,
ETHUSDT,0.25,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",1.134,1.125,False,False,False,
ETHUSDT,0.5,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",1.045,1.036,False,False,False,
ETHUSDT,0.75,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",1.037,0.995,False,False,False,
ETHUSDT,1.0,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",0.971,0.952,False,False,False,
ETHUSDT,1.5,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",1.044,0.944,False,False,False,
SOLUSDT,0.25,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",1.476,1.045,False,False,False,
SOLUSDT,0.5,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",1.364,1.268,False,False,False,
SOLUSDT,0.75,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",1.245,1.174,False,False,False,
SOLUSDT,1.0,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",1.152,1.138,False,False,False,
SOLUSDT,1.5,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",1.148,1.076,False,False,False,
