asset,year,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,triggered_by,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout
BTCUSDT,2022,0.5,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",63,62,5.28,0.984,False,,1.07,27.4,0.035,1.947,-0.688,2.15,-3.76,5.2,0,54,8
BTCUSDT,2022,0.75,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",63,62,5.28,0.984,False,,0.961,27.4,-0.019,1.749,-0.688,-1.21,-3.97,5.2,0,54,8
BTCUSDT,2022,1.0,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",63,62,5.28,0.984,False,,0.895,27.4,-0.052,1.629,-0.688,-3.25,-4.63,5.2,0,54,8
BTCUSDT,2022,1.5,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",63,62,5.28,0.984,False,,1.104,27.4,0.052,2.01,-0.688,3.23,-3.76,5.2,0,50,12
BTCUSDT,2022,1.25,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",63,62,5.28,0.984,False,upper_contingency,1.062,27.4,0.031,1.933,-0.688,1.91,-3.76,5.2,0,53,9
ETHUSDT,2022,0.5,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",49,48,4.08,0.98,False,,1.045,33.3,0.022,1.504,-0.719,1.04,-2.02,4.0,0,38,10
ETHUSDT,2022,0.75,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",49,48,4.08,0.98,False,,1.037,33.3,0.018,1.492,-0.719,0.85,-1.97,4.0,0,38,10
ETHUSDT,2022,1.0,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",49,48,4.08,0.98,False,,0.971,33.3,-0.014,1.397,-0.719,-0.67,-1.95,4.0,0,38,10
ETHUSDT,2022,1.5,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",49,48,4.08,0.98,False,,1.044,33.3,0.021,1.503,-0.719,1.02,-1.98,4.0,0,34,14
ETHUSDT,2022,0.25,"H2.1 anchor (be=1.0R/activation=2.0R, distance variable)",49,48,4.08,0.98,False,lower_contingency,1.134,33.3,0.064,1.631,-0.719,3.08,-1.95,4.0,0,38,10
