entry_idx,direction,pnl_r_v3a,is_winner,mfe_r,mae_r,asset,year
38,short,-1.0857,False,1.0192,1.7975,BTCUSDT,2022
62,short,1.3586,True,2.4439,0.2937,BTCUSDT,2022
202,short,-1.063,False,0.7847,1.9105,BTCUSDT,2022
225,short,1.0429,True,4.1879,1.1178,BTCUSDT,2022
254,short,-1.0565,False,0.3267,2.2648,BTCUSDT,2022
349,short,-1.0855,False,0.3725,2.018,BTCUSDT,2022
544,short,-1.0411,False,2.9328,1.666,BTCUSDT,2022
781,short,1.8143,True,4.0537,0.1366,BTCUSDT,2022
968,long,-0.0685,False,2.8543,2.8145,BTCUSDT,2022
1042,long,-1.0799,False,0.4253,2.1407,BTCUSDT,2022
1543,short,1.7543,True,3.9643,0.0002,BTCUSDT,2022
1672,short,-0.6154,False,0.5391,0.7429,BTCUSDT,2022
1695,short,-1.072,False,1.0383,1.1482,BTCUSDT,2022
1713,short,-0.096,False,4.0088,0.2445,BTCUSDT,2022
1840,long,0.7918,True,1.7963,0.1273,BTCUSDT,2022
1959,long,-1.0686,False,1.6317,1.0093,BTCUSDT,2022
2175,long,-1.0671,False,1.1431,1.025,BTCUSDT,2022
2215,long,1.047,True,2.129,1.2344,BTCUSDT,2022
2389,short,-1.1256,False,3.9369,2.7642,BTCUSDT,2022
2458,short,-1.0678,False,0.3551,3.3936,BTCUSDT,2022
2486,short,-0.0739,False,1.8205,0.1113,BTCUSDT,2022
2535,short,-1.0681,False,0.1094,1.2424,BTCUSDT,2022
2560,short,-0.1237,False,5.8483,0.8967,BTCUSDT,2022
2774,short,1.3948,True,2.8677,0.1441,BTCUSDT,2022
2990,short,2.1298,True,3.3445,0.0225,BTCUSDT,2022
3351,short,-0.2835,False,0.7983,0.7493,BTCUSDT,2022
3488,short,-0.0353,False,1.4062,1.0788,BTCUSDT,2022
3631,short,-1.0729,False,5.6064,1.0505,BTCUSDT,2022
3638,short,1.853,True,2.8966,0.0926,BTCUSDT,2022
3682,short,-0.0601,False,1.3297,0.2982,BTCUSDT,2022
3727,short,-1.1264,False,0.5051,7.8717,BTCUSDT,2022
3993,short,0.5691,True,1.3105,0.2804,BTCUSDT,2022
4215,short,-1.0582,False,0.1585,2.6424,BTCUSDT,2022
4261,short,-0.6169,False,0.4187,0.8525,BTCUSDT,2022
4287,short,1.2603,True,2.5501,0.5325,BTCUSDT,2022
4354,short,-1.0322,False,0.2134,1.1715,BTCUSDT,2022
5144,long,-0.0686,False,1.1972,1.8916,BTCUSDT,2022
5246,long,-0.1381,False,7.1151,0.8275,BTCUSDT,2022
5599,short,-1.0683,False,0.83,1.6597,BTCUSDT,2022
5799,short,-1.0673,False,0.8308,2.8482,BTCUSDT,2022
5968,short,3.0221,True,5.7022,0.0456,BTCUSDT,2022
6250,short,2.0484,True,9.1299,0.59,BTCUSDT,2022
6370,short,-0.0578,False,1.4754,1.5042,BTCUSDT,2022
6421,short,-1.0952,False,1.7009,2.16,BTCUSDT,2022
6517,short,-1.0454,False,0.409,1.9085,BTCUSDT,2022
7090,short,-0.3005,False,1.9168,9.2354,BTCUSDT,2022
7216,long,-0.0696,False,1.4807,0.6142,BTCUSDT,2022
7550,short,0.0976,True,0.6709,0.4296,BTCUSDT,2022
7665,short,-0.0656,False,1.6459,0.1502,BTCUSDT,2022
7720,short,-0.0822,False,0.6887,0.4783,BTCUSDT,2022
7761,short,-0.1719,False,8.4095,0.5986,BTCUSDT,2022
7912,short,-0.1472,False,1.3074,0.9238,BTCUSDT,2022
8053,short,-1.0707,False,0.1601,1.2966,BTCUSDT,2022
8072,short,-1.1605,False,0.942,1.1199,BTCUSDT,2022
