asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,1.25 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",0.953,0.749,False,False,False,
BTCUSDT,1.25 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",0.705,1.074,False,False,False,
BTCUSDT,1.5 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",0.89,0.718,False,False,False,
BTCUSDT,1.5 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",0.666,1.049,False,False,False,
BTCUSDT,2.0 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",0.895,0.713,False,False,False,
BTCUSDT,2.0 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",0.681,1.021,False,False,False,
BTCUSDT,2.5 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",0.914,0.646,False,False,False,
BTCUSDT,2.5 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",0.7,1.034,False,False,False,
BTCUSDT,3.0 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",0.855,0.564,False,False,False,
BTCUSDT,3.0 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",0.667,0.966,False,False,False,
ETHUSDT,1.25 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",0.957,0.979,False,False,False,
ETHUSDT,1.25 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",1.059,0.773,False,False,False,
ETHUSDT,1.5 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",0.931,1.02,False,False,False,
ETHUSDT,1.5 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",1.04,0.792,False,False,False,
ETHUSDT,2.0 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",0.971,0.952,False,False,False,
ETHUSDT,2.0 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",1.033,0.782,False,False,False,
ETHUSDT,2.5 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",0.913,1.211,False,False,False,
ETHUSDT,2.5 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",0.974,0.875,False,False,False,
ETHUSDT,3.0 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",0.901,1.106,False,False,False,
ETHUSDT,3.0 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",0.938,0.823,False,False,False,
SOLUSDT,1.25 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",1.23,1.256,False,False,False,
SOLUSDT,1.25 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",1.024,1.36,False,False,False,
SOLUSDT,1.5 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",1.15,1.279,False,False,False,
SOLUSDT,1.5 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",1.003,1.347,False,False,False,
SOLUSDT,2.0 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",1.152,1.138,False,False,False,
SOLUSDT,2.0 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",1.003,1.272,False,False,False,
SOLUSDT,2.5 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",1.156,1.203,False,False,False,
SOLUSDT,2.5 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",1.125,1.307,False,False,False,
SOLUSDT,3.0 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",1.193,1.173,False,False,False,
SOLUSDT,3.0 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",1.12,1.288,False,False,False,
