asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,0.25 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.38,0.778,False,False,False,
BTCUSDT,0.25 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",0.663,1.226,False,False,False,
BTCUSDT,0.5 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.014,0.644,False,False,False,
BTCUSDT,0.5 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",0.558,1.087,False,False,False,
BTCUSDT,1.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",0.895,0.713,False,False,False,
BTCUSDT,1.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",0.681,1.021,False,False,False,
BTCUSDT,1.5 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",0.866,0.892,False,False,False,
BTCUSDT,1.5 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",0.737,1.156,False,False,False,
BTCUSDT,2.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.208,0.921,False,False,False,
BTCUSDT,2.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",0.893,1.226,False,False,False,
ETHUSDT,0.25 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.059,1.206,False,False,False,
ETHUSDT,0.25 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",0.982,0.996,False,False,False,
ETHUSDT,0.5 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",0.888,1.071,False,False,False,
ETHUSDT,0.5 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.063,0.843,False,False,False,
ETHUSDT,1.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",0.971,0.952,False,False,False,
ETHUSDT,1.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.033,0.782,False,False,False,
ETHUSDT,1.5 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.207,1.056,False,False,False,
ETHUSDT,1.5 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.142,0.885,False,False,False,
ETHUSDT,2.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.256,0.969,False,False,False,
ETHUSDT,2.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.234,0.855,False,False,False,
SOLUSDT,0.25 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.339,0.614,False,False,False,
SOLUSDT,0.25 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.174,0.821,False,False,False,
SOLUSDT,0.5 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.471,0.819,False,False,False,
SOLUSDT,0.5 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.216,1.142,False,False,False,
SOLUSDT,1.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.152,1.138,False,False,False,
SOLUSDT,1.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.003,1.272,False,False,False,
SOLUSDT,1.5 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.162,1.134,False,False,False,
SOLUSDT,1.5 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.08,1.294,False,False,False,
SOLUSDT,2.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.092,1.105,False,False,False,
SOLUSDT,2.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",1.074,1.249,False,False,False,
