asset,year,role,session,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout
BTCUSDT,2022,control,control_8h,1.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",63,62,5.28,0.984,False,0.895,27.4,-0.052,1.629,-0.688,-3.25,-4.63,5.2,0,54,8
BTCUSDT,2022,control,dcv1_activo_15h,1.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",119,115,9.93,0.966,False,0.681,27.0,-0.177,1.397,-0.757,-20.31,-12.27,9.6,0,99,16
ETHUSDT,2022,control,control_8h,1.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",49,48,4.08,0.98,False,0.971,33.3,-0.014,1.397,-0.719,-0.67,-1.95,4.0,0,38,10
ETHUSDT,2022,control,dcv1_activo_15h,1.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",113,107,9.5,0.947,False,1.033,34.6,0.016,1.488,-0.762,1.75,-6.74,9.0,0,83,24
SOLUSDT,2022,control,control_8h,1.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",63,61,5.37,0.968,False,1.152,32.8,0.071,1.649,-0.698,4.35,-4.6,5.2,0,56,5
SOLUSDT,2022,control,dcv1_activo_15h,1.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",107,103,8.93,0.963,False,1.003,31.1,0.001,1.539,-0.691,0.15,-5.44,8.6,0,87,16
BTCUSDT,2023,control,control_8h,1.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",62,61,5.39,0.984,False,0.713,24.6,-0.169,1.702,-0.779,-10.29,-5.18,5.3,0,53,8
BTCUSDT,2023,control,dcv1_activo_15h,1.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",110,108,9.37,0.982,False,1.021,29.6,0.012,1.935,-0.798,1.28,-6.88,9.2,0,93,15
ETHUSDT,2023,control,control_8h,1.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",69,67,5.77,0.971,False,0.952,29.9,-0.025,1.636,-0.731,-1.65,-7.21,5.6,0,56,11
ETHUSDT,2023,control,dcv1_activo_15h,1.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",118,113,9.82,0.958,False,0.782,26.5,-0.119,1.606,-0.743,-13.44,-12.44,9.4,0,95,18
