asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,0.25 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",1.171,0.903,False,False,False,
BTCUSDT,0.25 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",0.858,1.216,False,False,False,
BTCUSDT,0.5 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",1.07,0.858,False,False,False,
BTCUSDT,0.5 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",0.809,1.153,False,False,False,
BTCUSDT,1.5 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",1.104,0.547,False,False,False,
BTCUSDT,1.5 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",0.795,0.967,False,False,False,
ETHUSDT,0.25 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",1.134,1.125,False,False,False,
ETHUSDT,0.25 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",1.126,0.944,False,False,False,
ETHUSDT,0.5 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",1.045,1.036,False,False,False,
ETHUSDT,0.5 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",1.051,0.862,False,False,False,
ETHUSDT,1.5 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",1.044,0.944,False,False,False,
ETHUSDT,1.5 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",1.069,0.754,False,False,False,
SOLUSDT,0.25 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",1.476,1.045,False,False,False,
SOLUSDT,0.25 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",1.206,1.323,False,False,False,
SOLUSDT,0.5 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",1.364,1.268,False,False,False,
SOLUSDT,0.5 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",1.175,1.417,False,False,False,
SOLUSDT,1.5 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",1.148,1.076,False,False,False,
SOLUSDT,1.5 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",1.178,1.184,False,False,False,
