asset,year,role,session,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout
BTCUSDT,2022,control,control_8h,1.0 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",63,62,5.28,0.984,False,0.895,27.4,-0.052,1.629,-0.688,-3.25,-4.63,5.2,0,54,8
BTCUSDT,2022,control,dcv1_activo_15h,1.0 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",119,115,9.93,0.966,False,0.681,27.0,-0.177,1.397,-0.757,-20.31,-12.27,9.6,0,99,16
ETHUSDT,2022,control,control_8h,1.0 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",49,48,4.08,0.98,False,0.971,33.3,-0.014,1.397,-0.719,-0.67,-1.95,4.0,0,38,10
ETHUSDT,2022,control,dcv1_activo_15h,1.0 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",113,107,9.5,0.947,False,1.033,34.6,0.016,1.488,-0.762,1.75,-6.74,9.0,0,83,24
SOLUSDT,2022,control,control_8h,1.0 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",63,61,5.37,0.968,False,1.152,32.8,0.071,1.649,-0.698,4.35,-4.6,5.2,0,56,5
SOLUSDT,2022,control,dcv1_activo_15h,1.0 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",107,103,8.93,0.963,False,1.003,31.1,0.001,1.539,-0.691,0.15,-5.44,8.6,0,87,16
BTCUSDT,2023,control,control_8h,1.0 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",62,61,5.39,0.984,False,0.713,24.6,-0.169,1.702,-0.779,-10.29,-5.18,5.3,0,53,8
BTCUSDT,2023,control,dcv1_activo_15h,1.0 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",110,108,9.37,0.982,False,1.021,29.6,0.012,1.935,-0.798,1.28,-6.88,9.2,0,93,15
ETHUSDT,2023,control,control_8h,1.0 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",69,67,5.77,0.971,False,0.952,29.9,-0.025,1.636,-0.731,-1.65,-7.21,5.6,0,56,11
ETHUSDT,2023,control,dcv1_activo_15h,1.0 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",118,113,9.82,0.958,False,0.782,26.5,-0.119,1.606,-0.743,-13.44,-12.44,9.4,0,95,18
SOLUSDT,2023,control,control_8h,1.0 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",56,56,4.7,1.0,False,1.138,28.6,0.072,2.088,-0.734,4.04,-6.3,4.7,0,46,10
SOLUSDT,2023,control,dcv1_activo_15h,1.0 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",100,98,8.37,0.98,False,1.272,31.6,0.132,1.958,-0.713,12.96,-5.22,8.2,0,77,21
BTCUSDT,2022,candidate,control_8h,0.25 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",63,62,5.28,0.984,False,1.171,27.4,0.086,2.133,-0.688,5.31,-3.76,5.2,0,54,8
BTCUSDT,2022,candidate,control_8h,0.5 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",63,62,5.28,0.984,False,1.07,27.4,0.035,1.947,-0.688,2.15,-3.76,5.2,0,54,8
BTCUSDT,2022,candidate,control_8h,1.5 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",63,62,5.28,0.984,False,1.104,27.4,0.052,2.01,-0.688,3.23,-3.76,5.2,0,50,12
BTCUSDT,2022,candidate,dcv1_activo_15h,0.25 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",119,115,9.93,0.966,False,0.858,27.0,-0.078,1.762,-0.757,-9.01,-9.13,9.6,0,99,16
BTCUSDT,2022,candidate,dcv1_activo_15h,0.5 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",119,115,9.93,0.966,False,0.809,27.0,-0.106,1.66,-0.757,-12.16,-9.74,9.6,0,99,16
BTCUSDT,2022,candidate,dcv1_activo_15h,1.5 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",119,115,9.93,0.966,False,0.795,27.0,-0.113,1.632,-0.757,-13.04,-11.55,9.6,0,94,21
ETHUSDT,2022,candidate,control_8h,0.25 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",49,48,4.08,0.98,False,1.134,33.3,0.064,1.631,-0.719,3.08,-1.95,4.0,0,38,10
ETHUSDT,2022,candidate,control_8h,0.5 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",49,48,4.08,0.98,False,1.045,33.3,0.022,1.504,-0.719,1.04,-2.02,4.0,0,38,10
ETHUSDT,2022,candidate,control_8h,1.5 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",49,48,4.08,0.98,False,1.044,33.3,0.021,1.503,-0.719,1.02,-1.98,4.0,0,34,14
ETHUSDT,2022,candidate,dcv1_activo_15h,0.25 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",113,107,9.5,0.947,False,1.126,34.6,0.063,1.623,-0.762,6.73,-6.53,9.0,0,85,22
ETHUSDT,2022,candidate,dcv1_activo_15h,0.5 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",113,107,9.5,0.947,False,1.051,34.6,0.026,1.515,-0.762,2.74,-7.22,9.0,0,85,22
ETHUSDT,2022,candidate,dcv1_activo_15h,1.5 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",113,107,9.5,0.947,False,1.069,34.6,0.035,1.541,-0.762,3.7,-6.42,9.0,0,78,29
SOLUSDT,2022,candidate,control_8h,0.25 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",63,61,5.37,0.968,False,1.476,32.8,0.224,2.114,-0.698,13.64,-3.23,5.2,0,56,5
SOLUSDT,2022,candidate,control_8h,0.5 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",63,61,5.37,0.968,False,1.364,32.8,0.171,1.953,-0.698,10.43,-3.35,5.2,0,56,5
SOLUSDT,2022,candidate,control_8h,1.5 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",63,61,5.37,0.968,False,1.148,32.8,0.069,1.643,-0.698,4.22,-3.18,5.2,0,51,10
SOLUSDT,2022,candidate,dcv1_activo_15h,0.25 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",107,103,8.93,0.963,False,1.206,31.1,0.098,1.85,-0.691,10.12,-4.94,8.6,0,87,16
SOLUSDT,2022,candidate,dcv1_activo_15h,0.5 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",107,103,8.93,0.963,False,1.175,31.1,0.084,1.803,-0.691,8.61,-4.25,8.6,0,87,16
SOLUSDT,2022,candidate,dcv1_activo_15h,1.5 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",107,103,8.93,0.963,False,1.178,31.1,0.085,1.807,-0.691,8.73,-4.27,8.6,0,80,23
BTCUSDT,2023,candidate,control_8h,0.25 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",62,61,5.39,0.984,False,0.903,24.6,-0.057,2.157,-0.779,-3.46,-3.16,5.3,0,53,8
BTCUSDT,2023,candidate,control_8h,0.5 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",62,61,5.39,0.984,False,0.858,24.6,-0.083,2.05,-0.779,-5.07,-3.08,5.3,0,53,8
BTCUSDT,2023,candidate,control_8h,1.5 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",62,61,5.39,0.984,False,0.547,24.6,-0.266,1.305,-0.779,-16.24,-7.89,5.3,0,53,8
BTCUSDT,2023,candidate,dcv1_activo_15h,0.25 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",110,108,9.37,0.982,False,1.216,29.6,0.121,2.304,-0.798,13.09,-6.53,9.2,0,93,15
BTCUSDT,2023,candidate,dcv1_activo_15h,0.5 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",110,108,9.37,0.982,False,1.153,29.6,0.086,2.186,-0.798,9.29,-6.65,9.2,0,93,15
BTCUSDT,2023,candidate,dcv1_activo_15h,1.5 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",110,108,9.37,0.982,False,0.967,29.6,-0.019,1.833,-0.798,-2.0,-7.11,9.2,0,92,16
ETHUSDT,2023,candidate,control_8h,0.25 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",69,67,5.77,0.971,False,1.125,29.9,0.064,1.932,-0.731,4.28,-5.38,5.6,0,57,10
ETHUSDT,2023,candidate,control_8h,0.5 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",69,67,5.77,0.971,False,1.036,29.9,0.018,1.78,-0.731,1.23,-6.09,5.6,0,57,10
ETHUSDT,2023,candidate,control_8h,1.5 | control_8h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",69,67,5.77,0.971,False,0.944,29.9,-0.029,1.622,-0.731,-1.92,-8.23,5.6,0,52,15
ETHUSDT,2023,candidate,dcv1_activo_15h,0.25 | dcv1_activo_15h,"I1-distance (be=1.0R/activation=2.0R, distance & session variable)",118,113,9.82,0.958,False,0.944,26.5,-0.031,1.938,-0.743,-3.48,-9.7,9.4,0,96,17
