entry_time,exit_time,direction,entry,sl,tp,exit_price,risk_pts,outcome,pnl_r,mfe_r,mae_r,duration_h,bias_4h,ema200_4h,periodo
2022-01-02 15:00:00+00:00,2022-01-02 18:00:00+00:00,long,47329.68,46834.41,48567.85,46834.41,495.27,sl,-1.0,1.353,1.462,3,long,46824.16,2022
2022-01-09 10:00:00+00:00,2022-01-09 18:00:00+00:00,short,41636.97,42232.03,40149.33,42232.03,595.06,sl,-1.0,0.785,1.094,8,short,45891.03,2022
2022-01-10 09:00:00+00:00,2022-01-10 14:00:00+00:00,short,41788.54,42308.73,40488.05,40488.05,520.19,tp,2.5,4.188,0.349,5,short,45664.26,2022
2022-01-11 14:00:00+00:00,2022-01-11 16:00:00+00:00,short,41616.57,42279.52,39959.19,42279.52,662.95,sl,-1.0,0.327,1.965,2,short,45396.3,2022
2022-01-15 13:00:00+00:00,2022-01-15 15:00:00+00:00,short,42889.22,43340.54,41760.92,43340.54,451.32,sl,-1.0,0.372,1.109,2,short,44877.44,2022
2022-01-23 16:00:00+00:00,2022-01-23 23:00:00+00:00,short,35211.97,35983.24,33283.8,35983.24,771.27,sl,-1.0,0.808,1.666,7,short,43003.92,2022
2022-02-02 13:00:00+00:00,2022-02-02 16:00:00+00:00,short,38350.65,38799.83,37227.7,37227.7,449.18,tp,2.5,2.891,0.137,3,short,40476.77,2022
2022-02-10 08:00:00+00:00,2022-02-10 13:00:00+00:00,long,44189.67,43608.86,45641.7,43608.86,580.81,sl,-1.0,1.692,1.015,5,long,40912.28,2022
2022-02-13 10:00:00+00:00,2022-02-13 17:00:00+00:00,long,42552.11,42072.78,43750.43,42072.78,479.33,sl,-1.0,0.425,1.042,7,long,41255.11,2022
2022-03-06 07:00:00+00:00,2022-03-06 10:00:00+00:00,short,39369.6,39833.66,38209.44,38209.44,464.06,tp,2.5,2.736,0.0,3,short,40655.3,2022
2022-03-12 15:00:00+00:00,2022-03-12 17:00:00+00:00,short,39018.3,39506.1,37798.8,39506.1,487.8,sl,-1.0,0.135,1.148,2,short,40246.21,2022
2022-03-13 09:00:00+00:00,2022-03-13 22:00:00+00:00,short,38964.0,39329.2,38051.01,38051.01,365.2,tp,2.5,4.009,0.245,13,short,40186.08,2022
2022-03-23 15:00:00+00:00,2022-03-23 18:00:00+00:00,long,42588.7,42030.21,43984.93,42030.21,558.49,sl,-1.0,0.297,1.009,3,long,40507.43,2022
2022-04-01 15:00:00+00:00,2022-04-01 17:00:00+00:00,long,46523.5,45899.52,48083.45,45899.52,623.98,sl,-1.0,0.099,1.025,2,long,42659.93,2022
2022-04-03 07:00:00+00:00,2022-04-04 00:00:00+00:00,long,46363.7,45854.39,47636.98,45854.39,509.31,sl,-1.0,2.129,1.218,17,long,43005.3,2022
