symbol,entry_time,direction,entry,sl,tp,outcome,pnl_r,mfe_r,mae_r,duration_h,periodo
BTCUSDT,2022-01-02 15:00:00+00:00,long,47329.68,46834.4113,48567.8517,sl,-1.0,1.353,1.462,3,2022
BTCUSDT,2022-01-09 10:00:00+00:00,short,41636.97,42232.0275,40149.3263,sl,-1.0,0.785,1.094,8,2022
BTCUSDT,2022-01-10 09:00:00+00:00,short,41788.54,42308.7348,40488.0529,tp,2.5,4.188,0.349,5,2022
BTCUSDT,2022-01-11 14:00:00+00:00,short,41616.57,42279.5227,39959.1882,sl,-1.0,0.327,1.965,2,2022
BTCUSDT,2022-01-15 13:00:00+00:00,short,42889.22,43340.541,41760.9176,sl,-1.0,0.372,1.109,2,2022
BTCUSDT,2022-01-23 16:00:00+00:00,short,35211.97,35983.237,33283.8025,sl,-1.0,0.808,1.666,7,2022
BTCUSDT,2022-02-02 13:00:00+00:00,short,38350.65,38799.8281,37227.7048,tp,2.5,2.891,0.137,3,2022
BTCUSDT,2022-02-10 08:00:00+00:00,long,44189.67,43608.8595,45641.6963,sl,-1.0,1.692,1.015,5,2022
BTCUSDT,2022-02-13 10:00:00+00:00,long,42552.11,42072.781,43750.4326,sl,-1.0,0.425,1.042,7,2022
BTCUSDT,2022-03-06 07:00:00+00:00,short,39369.6,39833.6648,38209.4381,tp,2.5,2.736,0.0,3,2022
BTCUSDT,2022-03-12 15:00:00+00:00,short,39018.3,39506.0987,37798.8032,sl,-1.0,0.135,1.148,2,2022
BTCUSDT,2022-03-13 09:00:00+00:00,short,38964.0,39329.1955,38051.0113,tp,2.5,4.009,0.245,13,2022
BTCUSDT,2022-03-23 15:00:00+00:00,long,42588.7,42030.2081,43984.9297,sl,-1.0,0.297,1.009,3,2022
BTCUSDT,2022-04-01 15:00:00+00:00,long,46523.5,45899.5189,48083.4527,sl,-1.0,0.099,1.025,2,2022
BTCUSDT,2022-04-03 07:00:00+00:00,long,46363.7,45854.3885,47636.9787,sl,-1.0,2.129,1.218,17,2022
BTCUSDT,2022-04-10 13:00:00+00:00,short,42556.5,42861.438,41794.155,sl,-1.0,0.133,2.563,4,2022
BTCUSDT,2022-04-13 10:00:00+00:00,short,39788.1,40316.1217,38468.0458,sl,-1.0,0.355,1.449,3,2022
BTCUSDT,2022-04-16 15:00:00+00:00,short,40039.8,40569.0,38716.8,sl,-1.0,0.109,1.074,6,2022
BTCUSDT,2022-04-17 16:00:00+00:00,short,40175.2,40467.5081,39444.4298,tp,2.5,5.389,0.897,12,2022
BTCUSDT,2022-04-26 14:00:00+00:00,short,39269.7,39826.9,37876.7,tp,2.5,2.67,0.144,5,2022
BTCUSDT,2022-05-05 14:00:00+00:00,short,38214.8,39060.0,36101.8,tp,2.5,3.17,0.022,1,2022
BTCUSDT,2022-05-26 08:00:00+00:00,short,28991.0,29729.8,27144.0,sl,-1.0,1.406,1.079,8,2022
BTCUSDT,2022-06-01 07:00:00+00:00,short,31479.6,31868.3712,30507.6719,sl,-1.0,0.134,1.05,6,2022
BTCUSDT,2022-06-01 14:00:00+00:00,short,31160.5,31802.8,29554.75,tp,2.5,2.897,0.093,6,2022
BTCUSDT,2022-06-05 07:00:00+00:00,short,29630.6,29841.6601,29102.9496,sl,-1.0,0.505,1.632,8,2022
BTCUSDT,2022-06-25 15:00:00+00:00,short,20958.9,21283.2663,20147.9844,sl,-1.0,0.158,1.775,6,2022
BTCUSDT,2022-06-28 15:00:00+00:00,short,20595.4,20900.5608,19832.4979,tp,2.5,2.55,0.533,20,2022
BTCUSDT,2022-07-01 10:00:00+00:00,short,19062.5,19595.4151,17730.2123,sl,-1.0,0.213,1.132,3,2022
BTCUSDT,2022-08-03 08:00:00+00:00,long,23284.5,22979.2,24047.75,sl,-1.0,1.197,1.387,14,2022
BTCUSDT,2022-08-07 14:00:00+00:00,long,23108.6,22958.0192,23485.052,tp,2.5,4.469,0.827,16,2022
BTCUSDT,2022-08-22 07:00:00+00:00,short,21089.1,21366.8,20394.85,sl,-1.0,0.83,1.045,6,2022
BTCUSDT,2022-08-30 15:00:00+00:00,short,19743.8,20007.8953,19083.5618,sl,-1.0,0.831,1.292,4,2022
BTCUSDT,2022-09-06 16:00:00+00:00,short,19737.7,19954.7571,19195.0573,tp,2.5,4.104,0.046,1,2022
BTCUSDT,2022-09-18 10:00:00+00:00,short,19909.5,20095.0995,19445.5012,tp,2.5,2.799,0.59,11,2022
BTCUSDT,2022-09-23 10:00:00+00:00,short,18954.0,19249.1645,18216.0889,sl,-1.0,1.475,1.284,12,2022
BTCUSDT,2022-09-25 13:00:00+00:00,short,18925.2,19104.0437,18478.0907,sl,-1.0,0.51,1.066,3,2022
BTCUSDT,2022-09-29 13:00:00+00:00,short,18981.0,19357.0,18041.0,sl,-1.0,0.409,1.776,3,2022
BTCUSDT,2022-10-23 10:00:00+00:00,short,19160.0,19217.3877,19016.5308,sl,-1.0,1.917,5.865,7,2022
BTCUSDT,2022-10-24 14:00:00+00:00,short,19264.7,19411.7798,18897.0004,sl,-1.0,0.335,1.023,5,2022
BTCUSDT,2022-11-20 09:00:00+00:00,short,16619.9,16706.9326,16402.3185,tp,2.5,4.763,0.599,12,2022
