asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,A_sweep_bos,V3-A (1R/2R/1R),0.79,,False,False,False,
BTCUSDT,A_sweep_bos,V3-B (0.75R/1.5R/0.75R),0.33,,False,False,False,
BTCUSDT,T1_ema_cross,V3-A (1R/2R/1R),0.895,0.713,False,False,False,
BTCUSDT,T1_ema_cross,V3-B (0.75R/1.5R/0.75R),1.208,0.811,False,False,False,
ETHUSDT,A_sweep_bos,V3-A (1R/2R/1R),3.203,,False,False,False,
ETHUSDT,A_sweep_bos,V3-B (0.75R/1.5R/0.75R),4.312,,False,False,False,
ETHUSDT,T1_ema_cross,V3-A (1R/2R/1R),0.971,0.952,False,False,False,
ETHUSDT,T1_ema_cross,V3-B (0.75R/1.5R/0.75R),0.867,0.908,False,False,False,
SOLUSDT,A_sweep_bos,V3-A (1R/2R/1R),4.022,,False,False,False,
SOLUSDT,A_sweep_bos,V3-B (0.75R/1.5R/0.75R),3.416,,False,False,False,
SOLUSDT,T1_ema_cross,V3-A (1R/2R/1R),1.152,1.138,False,False,False,
SOLUSDT,T1_ema_cross,V3-B (0.75R/1.5R/0.75R),1.226,1.312,False,False,False,
