asset,year,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,total_r,max_dd,freq,be,reason_stop,reason_timeout
BTCUSDT,2022,T1_ema_cross,V3-A (1R/2R/1R),63,62,5.28,0.984,False,0.895,27.4,-0.052,-3.25,-4.63,5.2,0.0,54,8
BTCUSDT,2022,T1_ema_cross,V3-B (0.75R/1.5R/0.75R),63,62,5.28,0.984,False,1.208,37.1,0.083,5.17,-2.29,5.2,0.0,56,6
BTCUSDT,2022,A_sweep_bos,V3-A (1R/2R/1R),12,12,1.2,1.0,False,0.79,16.7,-0.166,-1.99,-2.11,1.2,0.0,11,1
BTCUSDT,2022,A_sweep_bos,V3-B (0.75R/1.5R/0.75R),12,12,1.2,1.0,False,0.33,16.7,-0.529,-6.35,-3.43,1.2,0.0,11,1
ETHUSDT,2022,T1_ema_cross,V3-A (1R/2R/1R),49,48,4.08,0.98,False,0.971,33.3,-0.014,-0.67,-1.95,4.0,0.0,38,10
ETHUSDT,2022,T1_ema_cross,V3-B (0.75R/1.5R/0.75R),49,48,4.08,0.98,False,0.867,31.2,-0.061,-2.91,-2.32,4.0,0.0,43,5
ETHUSDT,2022,A_sweep_bos,V3-A (1R/2R/1R),8,8,0.8,1.0,False,3.203,37.5,0.888,7.1,-0.55,0.8,0.0,7,1
ETHUSDT,2022,A_sweep_bos,V3-B (0.75R/1.5R/0.75R),8,8,0.8,1.0,False,4.312,50.0,0.903,7.22,-0.52,0.8,0.0,8,0
SOLUSDT,2022,T1_ema_cross,V3-A (1R/2R/1R),63,61,5.37,0.968,False,1.152,32.8,0.071,4.35,-4.6,5.2,0.0,56,5
SOLUSDT,2022,T1_ema_cross,V3-B (0.75R/1.5R/0.75R),63,61,5.37,0.968,False,1.226,32.8,0.084,5.12,-3.15,5.2,0.0,58,3
SOLUSDT,2022,A_sweep_bos,V3-A (1R/2R/1R),7,7,1.0,1.0,False,4.022,71.4,0.889,6.23,-1.03,1.0,0.0,5,2
SOLUSDT,2022,A_sweep_bos,V3-B (0.75R/1.5R/0.75R),7,7,1.0,1.0,False,3.416,71.4,0.711,4.98,-1.03,1.0,0.0,6,1
BTCUSDT,2023,T1_ema_cross,V3-A (1R/2R/1R),62,61,5.39,0.984,False,0.713,24.6,-0.169,-10.29,-5.18,5.3,0.0,53,8
BTCUSDT,2023,T1_ema_cross,V3-B (0.75R/1.5R/0.75R),62,61,5.39,0.984,False,0.811,31.1,-0.103,-6.26,-4.09,5.3,0.0,55,6
BTCUSDT,2023,A_sweep_bos,V3-A (1R/2R/1R),4,4,,1.0,False,,,,,,,,0,0
BTCUSDT,2023,A_sweep_bos,V3-B (0.75R/1.5R/0.75R),4,4,,1.0,False,,,,,,,,0,0
ETHUSDT,2023,T1_ema_cross,V3-A (1R/2R/1R),69,67,5.77,0.971,False,0.952,29.9,-0.025,-1.65,-7.21,5.6,0.0,56,11
ETHUSDT,2023,T1_ema_cross,V3-B (0.75R/1.5R/0.75R),69,67,5.77,0.971,False,0.908,32.8,-0.041,-2.73,-6.23,5.6,0.0,61,6
ETHUSDT,2023,A_sweep_bos,V3-A (1R/2R/1R),2,2,,1.0,False,,,,,,,,0,0
ETHUSDT,2023,A_sweep_bos,V3-B (0.75R/1.5R/0.75R),2,2,,1.0,False,,,,,,,,0,0
SOLUSDT,2023,T1_ema_cross,V3-A (1R/2R/1R),56,56,4.7,1.0,False,1.138,28.6,0.072,4.04,-6.3,4.7,0.0,46,10
SOLUSDT,2023,T1_ema_cross,V3-B (0.75R/1.5R/0.75R),56,56,4.7,1.0,False,1.312,30.4,0.146,8.18,-3.92,4.7,0.0,53,3
SOLUSDT,2023,A_sweep_bos,V3-A (1R/2R/1R),4,4,,1.0,False,,,,,,,,0,0
SOLUSDT,2023,A_sweep_bos,V3-B (0.75R/1.5R/0.75R),4,4,,1.0,False,,,,,,,,0,0
