asset,year,role,session,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,metrics_computable,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout
BTCUSDT,2022,control,control_8h,control_8h,"Espacio 3 — A_sweep_bos (V3-A anchor: be=1.0R/activation=2.0R/distance=1.0R, session variable)",12,12,1.2,1.0,False,True,0.79,16.7,-0.166,3.74,-0.947,-1.99,-2.11,1.2,0.0,11,1
ETHUSDT,2022,control,control_8h,control_8h,"Espacio 3 — A_sweep_bos (V3-A anchor: be=1.0R/activation=2.0R/distance=1.0R, session variable)",8,8,0.8,1.0,False,True,3.203,37.5,0.888,3.443,-0.645,7.1,-0.55,0.8,0.0,7,1
SOLUSDT,2022,control,control_8h,control_8h,"Espacio 3 — A_sweep_bos (V3-A anchor: be=1.0R/activation=2.0R/distance=1.0R, session variable)",7,7,1.0,1.0,False,True,4.022,71.4,0.889,1.657,-1.03,6.23,-1.03,1.0,0.0,5,2
BTCUSDT,2023,control,control_8h,control_8h,"Espacio 3 — A_sweep_bos (V3-A anchor: be=1.0R/activation=2.0R/distance=1.0R, session variable)",4,4,,1.0,False,False,,,,,,,,,,0,0
ETHUSDT,2023,control,control_8h,control_8h,"Espacio 3 — A_sweep_bos (V3-A anchor: be=1.0R/activation=2.0R/distance=1.0R, session variable)",2,2,,1.0,False,False,,,,,,,,,,0,0
SOLUSDT,2023,control,control_8h,control_8h,"Espacio 3 — A_sweep_bos (V3-A anchor: be=1.0R/activation=2.0R/distance=1.0R, session variable)",4,4,,1.0,False,False,,,,,,,,,,0,0
BTCUSDT,2022,candidate,dcv1_activo_15h,dcv1_activo_15h,"Espacio 3 — A_sweep_bos (V3-A anchor: be=1.0R/activation=2.0R/distance=1.0R, session variable)",17,17,1.6,1.0,False,True,0.637,11.8,-0.251,3.74,-0.783,-4.26,-3.13,1.6,0.0,16,1
ETHUSDT,2022,candidate,dcv1_activo_15h,dcv1_activo_15h,"Espacio 3 — A_sweep_bos (V3-A anchor: be=1.0R/activation=2.0R/distance=1.0R, session variable)",15,15,1.4,1.0,False,True,2.966,40.0,0.651,2.455,-0.552,9.76,-0.56,1.4,0.0,11,4
SOLUSDT,2022,candidate,dcv1_activo_15h,dcv1_activo_15h,"Espacio 3 — A_sweep_bos (V3-A anchor: be=1.0R/activation=2.0R/distance=1.0R, session variable)",12,12,1.0,1.0,False,True,2.729,66.7,0.6,1.421,-1.041,7.2,-0.68,1.0,0.0,8,4
BTCUSDT,2023,candidate,dcv1_activo_15h,dcv1_activo_15h,"Espacio 3 — A_sweep_bos (V3-A anchor: be=1.0R/activation=2.0R/distance=1.0R, session variable)",6,6,0.8,1.0,False,True,1.395,33.3,0.252,2.669,-0.957,1.51,-1.9,0.8,0.0,5,1
ETHUSDT,2023,candidate,dcv1_activo_15h,dcv1_activo_15h,"Espacio 3 — A_sweep_bos (V3-A anchor: be=1.0R/activation=2.0R/distance=1.0R, session variable)",4,4,,1.0,False,False,,,,,,,,,,0,0
SOLUSDT,2023,candidate,dcv1_activo_15h,dcv1_activo_15h,"Espacio 3 — A_sweep_bos (V3-A anchor: be=1.0R/activation=2.0R/distance=1.0R, session variable)",6,6,0.5,1.0,False,True,0.996,33.3,-0.001,0.963,-0.483,-0.01,-0.95,0.5,0.0,3,3
