entry_time,exit_time,direction,reason,pnl_r,duration_h,symbol,periodo,config
2022-01-02 15:00:00+00:00,2022-01-02 17:00:00+00:00,long,stop,-0.086,2,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-01-09 10:00:00+00:00,2022-01-09 18:00:00+00:00,short,stop,-1.063,8,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-01-10 09:00:00+00:00,2022-01-10 14:00:00+00:00,short,stop,1.0429,5,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-01-11 14:00:00+00:00,2022-01-11 16:00:00+00:00,short,stop,-1.0565,2,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-01-15 13:00:00+00:00,2022-01-15 15:00:00+00:00,short,stop,-1.0855,2,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-01-23 16:00:00+00:00,2022-01-23 23:00:00+00:00,short,stop,-1.0411,7,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-02-02 13:00:00+00:00,2022-02-02 17:00:00+00:00,short,stop,1.8143,4,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-02-10 08:00:00+00:00,2022-02-10 13:00:00+00:00,long,stop,-0.0685,5,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-02-13 10:00:00+00:00,2022-02-13 17:00:00+00:00,long,stop,-1.0799,7,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-03-06 07:00:00+00:00,2022-03-06 12:00:00+00:00,short,stop,1.7543,5,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-03-11 16:00:00+00:00,2022-03-12 12:00:00+00:00,short,timeout,-0.6154,20,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-03-12 15:00:00+00:00,2022-03-12 17:00:00+00:00,short,stop,-1.072,2,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-03-13 09:00:00+00:00,2022-03-13 15:00:00+00:00,short,stop,-0.096,6,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-03-18 16:00:00+00:00,2022-03-19 12:00:00+00:00,long,timeout,0.7918,20,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-03-23 15:00:00+00:00,2022-03-23 18:00:00+00:00,long,stop,-1.0686,3,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-04-01 15:00:00+00:00,2022-04-01 17:00:00+00:00,long,stop,-1.0671,2,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-04-03 07:00:00+00:00,2022-04-03 23:00:00+00:00,long,stop,1.047,16,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-04-10 13:00:00+00:00,2022-04-10 17:00:00+00:00,short,stop,-1.1256,4,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-04-13 10:00:00+00:00,2022-04-13 13:00:00+00:00,short,stop,-1.0678,3,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-04-14 14:00:00+00:00,2022-04-15 07:00:00+00:00,short,stop,-0.0739,17,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-04-16 15:00:00+00:00,2022-04-16 21:00:00+00:00,short,stop,-1.0681,6,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-04-17 16:00:00+00:00,2022-04-17 19:00:00+00:00,short,stop,-0.1237,3,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-04-26 14:00:00+00:00,2022-04-26 19:00:00+00:00,short,stop,1.3948,5,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-05-05 14:00:00+00:00,2022-05-05 16:00:00+00:00,short,stop,2.1298,2,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-05-20 15:00:00+00:00,2022-05-21 11:00:00+00:00,short,timeout,-0.2835,20,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-05-26 08:00:00+00:00,2022-05-26 14:00:00+00:00,short,stop,-0.0353,6,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-06-01 07:00:00+00:00,2022-06-01 13:00:00+00:00,short,stop,-1.0729,6,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-06-01 14:00:00+00:00,2022-06-01 23:00:00+00:00,short,stop,1.853,9,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-06-03 10:00:00+00:00,2022-06-03 21:00:00+00:00,short,stop,-0.0601,11,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-06-05 07:00:00+00:00,2022-06-05 15:00:00+00:00,short,stop,-1.1264,8,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-06-16 09:00:00+00:00,2022-06-17 05:00:00+00:00,short,timeout,0.5691,20,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-06-25 15:00:00+00:00,2022-06-25 21:00:00+00:00,short,stop,-1.0582,6,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-06-27 13:00:00+00:00,2022-06-28 09:00:00+00:00,short,timeout,-0.6169,20,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-06-28 15:00:00+00:00,2022-06-29 09:00:00+00:00,short,stop,1.2603,18,BTCUSDT,2022,V3-A (1R/2R/1R)
2022-07-01 10:00:00+00:00,2022-07-01 13:00:00+00:00,short,stop,-1.0322,3,BTCUSDT,2022,V3-A (1R/2R/1R)
